 覚悟と兆し|Resolutions and Omens
 Aランク　指定討伐：ミスリウ森林|A Rank Target Subjugation: Mysree Forest 
 Sランク　指定討伐：ミスリウ森林|S Rank Target Subjugation: Mysree Forest 
 Bランク　指定討伐：ボルド鉱山|B Rank Target Subjugation: Volden Mines
 Aランク　指定討伐：ボルド鉱山|A Rank Target Subjugation: Volden Mines
 Sランク　指定討伐：ボルド鉱山|S Rank Target Subjugation: Volden Mines
 Bランク　指定討伐：ダウ渓谷|B Rank Target Subjugation: Dowe Valley 
 Aランク　指定討伐：ダウ渓谷|A Rank Target Subjugation: Dowe Valley 
 Sランク　指定討伐：ダウ渓谷|S Rank Target Subjugation: Dowe Valley 
 Bランク　指定討伐：バートランド平原|B Rank Target Subjugation: Betland Plains
 Aランク　指定討伐：バートランド平原|A Rank Target Subjugation: Betland Plains
 Sランク　指定討伐：バートランド平原|S Rank Target Subjugation: Betland Plains
 Bランク　指定討伐：ザンドラ禁域|B Rank Target Subjugation: Zandora Wastelands
 Bランク　指定討伐：亡都メルゴダ|B Rank Target Subjugation: Mergoda Ruins 
 魔赤島　Ｂ|Bloodbane Isle B 
 Aランク　指定討伐：モロー樹林|A Rank Target Subjugation: Morrow Forest 
 Bランク　指定討伐：ファーラナ平原|B Rank Target Subjugation: Farana Plains 
 Aランク　指定討伐：ファーラナ平原|A Rank Target Subjugation: Farana Plains 
 Sランク　指定討伐：ファーラナ平原|S Rank Target Subjugation: Farana Plains 
 Sランク　指定討伐：キンガル峡谷|S Rank Target Subjugation: Kingal Canyon 
 フェルヤナ荒原　Ｓ|Feryana Wilderness S 
 Sランク　指定討伐：メガドシス高地|S Rank Target Subjugation: Megadosys Plateau 
 Aランク　指定討伐：ウルテカ山岳|A Rank Target Subjugation: Urteca Mountains
 パッケージクエスト検証|Package Quest Inspection
 廃教会の異変|A Calamity at the Cathedral Ruins
 ある行商人の悩み|The Woes of a Merchant 
 輸送係の悲劇|A Transporter's Tragedy
 助手の助手|An Assistant's Assistant 
 嘆願書対応　廃墟魔物退治|A Petition to Rid of Demons in Ruins 
 未知なる大石塊|The Mysterious Monolith
 霊廟に巣くう災|The Evil Lurking in the Tombs
 倉庫荒らしを懲らしめろ|Crackdown on Store Vandals 
 侵入のオーク小隊|The Raiding Orc Platoon
 薬を求めて|Request for Medicine 
 旅人の露払い|The Traveler's Scout 
 気になるあの品|A Concern for Artifacts
 求めるは平穏|Seeking Peace
 愛しき森を――|Beloved Forest 
 ときめきをもう一度|A Heart Throbs Once More 
 騎士と覚者|Knight and Arisen
 矜持の代償|The Price of Honor 
 ファビオの収集品|Fabio's Collectibles 
 ファビオと魔物退治|Fabio and Monster-Slaying
 天を覆う翼|Sky-Concealing Wings 
 偵察部隊との遭遇|Confrontation with Scouts
 井戸底の伏兵達|Ambush in the Well's Depths
 暗がりに住まう者|Dweller in the Darkness
 闇からのささやき|Whispers of the Dark 
 忌むべき番人|A Detestable Guard 
 騎士団の仇敵|The Knights' Bitter Enemy
 人喰い鬼、現る！|A Man-Eating Ogre Appears! 
 【緊急探索】財宝調査隊　ハイデル平原|Urgent Inspection: Hidell Plains Treasure Expedition 
 【怪盗乱魔】狂騒の兆し|Phantom Thieves: Omen of Madness 
 【鬼哭蒐集】邂逅の屍者|Collecting Souls: Corpse Encounter 
 海辺の強盗団|Beach Bandits
 船は良き友|Boat's Buddy 
 神秘の滝に|The Waterfall of Mystery 
 海の見張り手|The Sea-Watcher's Hand 
 闇に浮かぶ悪意|A Malice in the Dark 
 廃墟荒らしの怪|The Mystery of the Wasted Ruins
 遥か海原の先へ――|Along the Faraway Sea
 南の浜から迫る影|Shadow from the South Shore
 【進天動地】思いがけぬ急襲|Enter Heaven and Earth: Unexpected Descent 
 水底より来たりて|From the Water's Depths
 大地を踏みしだく者|That Which Tramples the Ground 
 月下の亡霊|Phantoms in the Moonlight
 思いがけぬ邂逅|An Unexpected Encounter
 海辺の怪奇|A Seaside Mystery
 ハーピーの群を討て！|Dispatch a Clamor of Harpies!
 【緊急探索】財宝調査隊　ブリア海岸|Urgent Inspection: Breya Coast Treasure Expedition 
 砦の物資事情|The Fort's Supply Problems 
 足りない報告書|The Missing Report 
 降って湧いた修練|Unexpected Training
 ざわめきの地下室|A Commotion in the Cellar
 リズの落し物|Lise's Lost Property 
 旧神殿に集う魔|A Gathering of Demons in the Old Temple
 緊急指令！　北部魔物討伐|Urgent Directive! Eliminate the Demons to the North
 山道の危機管理|A Situation on the Mountain Road 
 集う脅威|The Gathering Menace 
 暗がりの住民達|The Residents of Darkness
 奪われた逸品|The Stolen Treasure
 連絡路を取り戻せ|Reclaiming the Route 
 巣くいし魔獅子|The Resident Demonic Lion
 単眼の番人|The One-Eyed Guardian
 悪魔の翼膜を求めて|Seeking Fiend Wing Membrane
 潜みし略奪者|The Lurking Marauders
 銀色の悪鬼（他クエで名称流用中）|The Silver Fiend (他クエで名称流用中)
 大鎧、現る！|A Huge Armored Creature Appears! 
 遭遇の双撃|A Paired Encounter 
 骨の王|The King of Bones
 青鱗の凶竜|The Blue-Scaled Evil Dragon
 闇夜に舞う鷹|A Whirling Hawk on a Dark Night
 【緊急探索】財宝調査隊　バートランド平原|Urgent Inspection: Betland Plains Treasure Expedition
 愛と苦労の巣作り|A Nest of Labor and Love 
 美食家の探究心|The Curious Gourmand 
 時を刻む遺物|Historical Mementos
 悠久の古城|The Timeless Castle
 誇りは朽ちず|Undying Pride 
 コソ泥の受難|A Petty Thief's Woes 
 運べぬ運び屋|The Incapable Courier
 高みの見物|The Spectator
 珍客お断り|No Unexpected Guests 
 風鳴りと共に|With the Howling of the Wind 
 古城の魔女|The Witch of the Old Castle
 まどろみの巨人|The Sleeping Giant 
 石廊に響く足音|The Footsteps in the Halls 
 輝く一本角|The Glittering Horn
 彷徨える騎士団|The Wandering Knights
 騒乱のエイプ達|The Apes of Mayhem 
 霧に紛れた影|Misty Specters 
 貪り喰らうもの|A Desire to Feed 
 坑道に響く咆哮|The Echoing Roars in the Tunnel
 あの竜を追え！|After That Dragon! 
 【緊急探索】財宝調査隊　ダウ渓谷|Urgent Inspection: Dowe Valley Treasure Expedition 
 おしゃれの対価|A Stylish Consideration
 生きたお宝の謎|The Mysterious Living Treasure 
 縄張り守備隊長|A Territorial Dispute
 仕入れの重責|A Burden of Procurement
 湯詰まりの元|The Cause of the Hot Springs Blockage
 誘う光|The Tempting Lights
 険しき堂参り|A Grim Pilgrimage
 採掘師の生命線|A Miner's Lifeline 
 ボルド毒泉調査|Volden Poisonous Springs Investigation 
 傷ついた名誉|Wounded Honor
 大坑道に光る一つ目|The Bright One-Eyed
 黄泉からの使者|A Messenger from the Underworld
 岩窟の巨影|Shadows within the Cave
 坑道の怪物|The Tunnel Beast 
 岩砕きの大牙|Rock-Crushing Fangs
 覚めえぬ悪夢|Trapped in a Nightmare 
 レーゼ・エクストラクトを求めて|Seeking Riese Extract
 【緊急探索】財宝調査隊　ボルド鉱山|Urgent Inspection: Volden Mines Treasure Expedition
 【怪盗乱魔】情念の追跡隊|Phantom Thieves: Passionate Pursuit Team 
 迫る敵意|Approaching Hostility
 暗がりに消ゆ|In the Darkness
 洞穴に巣くう危機|Crisis within a Cave 
 リンウッド防衛戦|Defending Lynwood
 光浴びる花|Flowers Bathed in Light
 鍾乳洞に響く足音|Echoing Footsteps in the Cave
 森の魔術師|The Witch of the Forest
 古より集うもの|An Ancient Gathering 
 美食家の森林保護|A Gourmand's Forest Protection 
 橋は我らが命なり|The Bridges of Our Livelihood
 鱗持つ戦士達|Scaled Soldiers
 森に舞う妖鳥|A Strange Bird Dances in the Forest
 ミスリウ洞の怪|The Mystery of Mysree Limestone Cave 
 魔洞にひしめく影|Shadows in the Demon's Den 
 人攫いの正体|The Abductors' True Nature 
 死を呼ぶはばたき|Fluttering Calls of Death
 【緊急探索】財宝調査隊　ミスリウ森林|Urgent Inspection: Mysree Grove Treasure Expedition
 【怪盗乱魔】粗暴なる思慕|Phantom Thieves: Wild Yearning 
 【鬼哭蒐集】邂逅の亡者|Collecting Souls: Undead Encounter 
 古跡に響く子守歌|The Lullaby Echoing in the Ruins 
 翠緑の遺構|The Remains of Green 
 イニアスの怪物|The Inias Monster
 嘆きの下っぱ冒険者|The Grieving Underling 
 森の乱暴者|The Thugs of the Forest
 幽かなる凶兆|A Faint Ill Omen 
 蒼葉の守人|The Guardian of Green Leaves 
 招かれざる居候|The Unbidden Guest 
 銀色の悪鬼|The Silver Fiend 
 エルフィン・エクストラクトを求めて|Seeking Elfin Extract
 【緊急探索】財宝調査隊　ミスリウ森林深部|Urgent Inspection: Mysree Grove Treasure Expedition
 仇を求めて――|Seeking Vengeance
 妖しき秘薬|A Dubious Remedy 
 危険な賭け|A Dangerous Wager
 奪え！　オークの貯蓄品|To Steal from Orcs 
 うってつけの強者|The Perfect Warrior
 盗賊業の誘い|The Temptation of Thievery 
 一難去ってまた一難|From One Thing to Another
 唸る獅子王|The Roaring Lion King
 奪われた水路|The Occupied Channels
 猛る魔鳥|The Raging Demonic Bird
 オーク小隊を駆逐せよ！|Eliminate the Orc Platoon! 
 辺境の死線|The Deadly Frontier
 屍喰いの白鬼|The Corpse-Eating White Demon
 闇夜に佇む魔|The Evil in the Dark Night 
 鬼人達の宴|The Feast of Demons
 戦鬼将のベルトを求めて|Seeking Demon Commander's Belt 
 【緊急探索】財宝調査隊　バートランド平原北部|Urgent Inspection: Northern Betland Plains Treasure Expedition 
 麗しの古酒|The Lovely Vintage 
 囚われの亡霊|The Bound Spirit 
 気配の数だけ|The Sole Sign
 迷宮の難所|The Perilous Labyrinth 
 代えなき宝|An Irreplaceable Treasure
 闇色の翼|The Wings of Darkness
 招かれざる者達|The Uninvited Ones 
 忍び寄る悪意|The Evil Draws Near
 荒れ地の主|The Lord of the Wastes 
 屈強なる戦鬼達|The Mighty Brutes
 死出の旅路へ――|The Journey to Death 
 オーク遠征隊を殲滅せよ！|Eliminate the Orc Expedition!
 立ちはだかる魔像|The Obstructing Evil Statue
 不毛なる黒翼|The Barren Black Wings 
 襲い来るアギト|The Attacking Bite 
 空っぽの名誉|Empty Honor
 死王の眷族|The Dead Lord's Retainers
 いにしえよりの執念|An Ancient Perseverance
 【緊急探索】財宝調査隊　ザンドラ東部|Urgent Inspection: Eastern Zandora Treasure Expedition 
 亡都の記録|The Dead City's Chronicles 
 その名は“騎士喰らい”|"The One Called ""Knight-Devourer"" "
 禁じられし知識|Forbidden Knowledge
 帰りを祈って――|Pray for a Safe Return 
 炎紅の巨兵|The Fiery Titan
 智を欲せしもの|A Thirst for Knowledge 
 空を覆う黒影|The Dark Shadow Covering the Sky 
 禍々しき獣|The Sinister Beasts
 忘れられた守番|The Forgotten Guardian 
 地下水道の血戦|Bloody Battle in the Sewer 
 殺戮の魔道鉄騎|The Murderous Magick Cavalry 
 呪われし徘徊者|The Accursed Wanderer
 呪縛の廃屋|The Accursed Deserted Home 
 よみがえる古戦士|The Ancient Warrior Rises Again
 オーク精鋭部隊との遭遇|A Clash with the Orc Elite Corps 
 虚ろなる剣戟|A Hollow Swordfight
 溶熱に燃える巨躯|Monster Burning from Within
 禁域の処刑人|Executioner of the Wasteland 
 【緊急探索】財宝調査隊　ザンドラ禁域|Urgent Inspection: Zandora Wastelands Treasure Expedition
 探索の下ごしらえ|Expedition Preparations
 美食家のキノコ狩り|The Gourmand's Mushroom Hunt 
 壮麗なる残滓|The Remains of Splendor
 悪しき探求者|The Wicked Pursuer 
 純白の獅子王|The Snow-White Lion King 
 愚鈍なる占拠者|The Foolish Occupiers
 ほとばしる業火|A Surge of Hellfire
 黒雄鶏の啼く頃に|When the Black Fowl Crows
 深き森の番人|The Keeper of the Woods
 緑に舞い散るは――|The Greenery Falls, Dancing
 森の老魔女|The Old Witch of the Woods 
 不意に迫る殺意|A Sudden Urge to Kill
 【緊急探索】財宝調査隊　ディナン深層林|Urgent Inspection: Deenan Woods Treasure Expedition
 おそるべき被造物|A Horrible Creature
 乖離と補完|Separation and Completion
 眠りし叡智|A Deathly Wisdom 
 受け継がれる想い|Inherited Experience 
 金色の落とし仔|The Lost Golden Child
 アルケム・エクストラクトを求めて|Seeking Alchemical Extract 
 翼ある番兵|The Winged Sentry
 蒼き竜影|The Blue Dragon's Shadow 
 炎と岩よりい出し者|From Flame and Rock
 うち捨てられた巨人兵|The Abandoned Giant Warrior
 改造魔獣、襲撃！|An Altered Beast Attacks!
 錬成術の要|A Training Requirement 
 メルゴダ資源事情|Mergoda's Resource Issue 
 狂える竜脈|Mad Dragon's Pulse 
 実験動物の逆襲|The Experiment Strikes Back
 妄執の幽戦士|The Misguided Soldiers 
 亡都を歩む影|The Shadow That Roams the Dead City
 【緊急探索】財宝調査隊　亡都メルゴダ|Urgent Inspection: Mergoda Ruins Treasure Expedition 
 【高難度】冥闇に潜む影|High Difficulty: Lurking in the Shadows
 地下に舞いし幻影|Dancing Phantoms down Below
 郷想う気持ち|Hometown Concerns
 猛り狂う異形|A Monstrous Rampage
 魔女の噂|The Witch's Rumor
 【高難度】森のパトロール|High Difficulty: Forest Patrol 
 盗人は何処に|A Thief's Whereabouts
 期待された成果|Expected Results 
 洞窟の暴君|The Tyrant of the Cave 
 漂う妖光|The Wandering Light
 店主の苦悩|A Shopkeeper's Distress
 【高難度】喧騒の元|High Difficulty: The Source of Commotion 
 村に光を|Light in the Village 
 忘れられた魔像|The Forgotten Evil Image 
 灯台守の恩返し|The Lighthouse Keeper's Favor
 【高難度】静寂を裂く呻き声|High Difficulty: A Silence-Breaking Roar 
 大人への憧憬|Longing to Be an Adult 
 墓荒しを罰せよ|Punish Grave-Robbing 
 多忙は願い下げ|Heavily Occupied 
 【高難度】魔物の大掃除|High Difficulty: Demon Eradication 
 湖畔を掠める危機|A Lakeside Danger
 孤独のハンター|The Lonesome Hunter
 騎士の誇りに懸けて|Knight's Pride on the Line 
 冷風すさびし路|A Path Hardened by Cold Winds
 【高難度】魔巣の洞窟|High Difficulty: The Demon's Nest
 【財宝の扉】湿った殺気|Door of Treasures: Bloodlust 
 【宝飾の扉】現れた巨像|Door of Jewelry: Emerged Colossus
 【竜力の扉】誘いし怨霊|Door of Dragon Force: Call of Vengeful Spirits 
 【宝飾の扉】悪夢の根源|Door of Jewelry: The Source of the Nightmare 
 棄てられた獲物|Abandoned Prey 
 とっておきの情報|Prized Knowledge 
 【高難度】安息をもう一度|High Difficulty: To Rest, Once More
 悠久にて佇む|Remain for Eternity
 湧き出た邪念|A Gush of Wickedness 
 小鬼との取引|Deal with the Goblins
 【高難度】天秤に架けた誇り|High Difficulty: An Uncertain Pride
 悔恨晴らすまで|No Regrets 
 風光の中で|Within This Beautiful Scenery
 一人の戦士として|As a Single Soldier
 【宝飾の扉】伝承の真相|Door of Jewelry: Truth behind the Legend 
 呪われし聖域|The Cursed Sanctuary 
 【昌石の扉】蟠り、散らして|Door of Gemstones Away, Foul Things!
 職人気質|Spirit of a Craftsman
 【高難度】鑑賞の邪魔者|High Difficulty: Thank You for Your Trouble
 商売人の意地|A Merchant's Pride 
 【財宝の扉】暗晦に沈む想い|Door of Treasures: Dark and Depressing Thoughts
 遠方より想う|A Yearning from a Distance 
 【高難度】崩壊への狂宴|High Difficulty: A Revelry of Ruin 
 他言は無用|A Forbidden Disclosure 
 【竜力の扉】魔獣の栖|Door of Dragon Force: The Beast's Lair 
 郷土愛の痛み|Missing One's Hometown 
 水路に拡がる危機|A Situation in the Waterway
 分不相応の相手|An Unworthy Opponent 
 古跡の厄介者|Menace of the Ruins
 【高難度】危機迫る古跡|High Difficulty: Danger at the Ruins 
 引きつける影|Lure of the Shadow 
 【高難度】野望集めし魔物|High Difficulty: Monsters Full of Ambition 
 新天地へ向けて|Toward a New World 
 身近に潜みし魔|Demon Close at Hand
 友情はどこまでも|Friends to the End 
 騎士として|As a Knight
 洞窟に満ちる悪|The Evil Resounding in the Cave
 力試しの結果|A Trial of Strength's Outcome
 【高難度】島を救え|High Difficulty: Save the Island 
 【高難度】荒涼の地|High Difficulty: Desolate Land 
 【宝飾の扉】無鉄砲もいいところ|Door of Jewelry: Recklessness
 深奥の黒き影|A Deathly Black Shadow 
 遺跡の守り人|Guardian of Ancient Remains
 噂の尾ひれ|An Embellished Rumor 
 猪突猛進|Headlong into Danger 
 この世の地獄|Living Hell
 【高難度】漏れ聞こえる声|High Difficulty: An Overheard Voice
 立ちはだかる壁|Wall in One's Path 
 宿場の確保|Secure the Outpost 
 【高難度】若き力のために|High Difficulty: For Youthful Strength 
 水底に潜むもの|What Lies beneath the Waters 
 【宝飾の扉】新米の見せ場|Door of Jewelry: Newcomer's Highlight
 【財宝の扉】愚者葬られし場|Door of Treasures: The Fool's Burial Ground
 【宝飾の扉】異物排除|Door of Jewelry: Eliminate Invaders
 珠玉を求む|In Search of Gems
 あの日と今|That Day and Now 
 【高難度】封ぜられた闇|High Difficulty: The Sealed Darkness 
 呪われし巨影|A Great Cursed Shadow
 命知らずの地|Death-Defying Area 
 放浪の果てに|At the End of One's Wandering
 消えた貴重品|The Stolen Valuables 
 【高難度】油断大敵|High Difficulty: Don't Let Your Guard Down 
 【竜力の扉】巨魔との邂逅|Door of Dragon Force: A Monstrous Encounter
 懐かしき日|The Good Old Days
 亡者の誘い声|Call from the Undead 
 悔恨の地|A Place of Regrets 
 【昌石の扉】立入厳禁！|Door of Gemstones Absolutely No Entry!
 強欲の結末|An End to Greed
 孤独の主|Solitary Master
 【高難度】ただならぬ気配|High Difficulty: Unusual Prescence 
 【財宝の扉】轟きし咆哮|Door of Treasures: Thunderous Roar 
 悪夢の象徴|A Sign of Nightmares 
 秘密の取引き|Secret Dealings
 【高難度】海岸沿いの死闘|High Difficulty: Deathly Battle Along the Coast
 【竜力の扉】猛る魔角|Door of Dragon Force: Raging Horned Demon
 【.WQ】孤島|【.WQ】Solitary Island 
 守り人を守る人|Protecting the Protectors
 懐古たる洗礼|Fount of Nostalgia 
 【高難度】密林の潜伏者|High Difficulty: Lurker in the Deep Woods
 富と力|Wealth and Power 
 通商の先駆け|First to Trade 
 【時限採取】深夜の採草道|Time Restriction: Late Night Harvest 
 【時限採取】雨天の採水道|Time Restriction: Rainy Collection 
 【財宝の扉】虹覆う緑|Door of Treasures: The Green over Rainbow
 胡乱の目撃者|A Suspicious Eyewitness
 心痛の原因|Heartache's Cause
 振り向いてはいけない|Don't Look Behind You
 熱帯夜の無法者|The Warm Night Outlaw
 相棒を探して！|Searching for a Partner! 
 覚者隊の失態|The Arisen Corps' Blunder
 水林の旅人達|Water Grove Wayfarers
 見せしめの勲章|Medal To Set an Example
 類猿の血族|Simian Relatives 
 密林に輝く純白|Snow-White Gleam in the Deep Woods 
 エラニック・コントラスト|Elanic Contrast
 毒秘めし同胞|Brethren Hiding Poison 
 蔦覆い隠す呼び声|A Call from Beneath the Ivy
 踏み砕かれた心|A Trampled Heart
 【高難度】駆けゆく野生|High Difficulty: Rushing Wild
 【時限採取】暁の採泥道|Time Restriction: Dredging at Dawn 
 【昌石の扉】野獣たちの咆哮|Door of Gemstones Howls of the Beasts 
 看板娘の小手調べ|The Store Girl's Trial:s
 殊勝なる若輩者|A Commendable Novice 
 【高難度】魔影の侵攻|High Difficulty: The Specter's Invasion
 遠き地の子へ|To the Faraway Child 
 未来を見据える瞳|Eyes Fixed on the Future 
 【時限採取】真昼の採草道|Time Restriction: Midday Harvest 
 【時限採取】曇天の採石道|Time Restriction: Cloudy Mining
 【昌石の扉】無慈悲なる鋼爪|Door of Gemstones Cruel Steel Claws 
 弱腰の矜持|Pride of the Weak
 弱腰の試練|Ordeal of the Weak 
 昔取った槍柄|An Old Hand at the Spear 
 寡黙な師弟愛|Teacher and Pupil's Unspoken Affection 
 異邦捜査線|A Foreign Investigation
 惑いし砦守|The Troubled Fortification 
 消えた僚友|Missing Cohort 
 かの日の強者|Champion from that Day 
 水路を焦がす稲妻|Lightning Scorching the Waterway 
 好奇が呼ぶ不穏|Disturbance Stirring Curiosity 
 残酷なる翼影|Cruel Winged Shadow
 猛き尾と芳しき翼|Fierce Tail and Splendid Wings 
 無縫の墓荒らし|Flawless Grave-Robbing 
 小妖精の王|King of the Fairies
