Type,Japanese,English, ,English description,Vocation,Game
Shield,ダークネスガードEX,Desecration Feint,,An advanced form of Abyssal Riposte that further extends the duration and conjures even more darkness.,Mystic Knight,Dragon's Dogma
Shield,ダークネスエンチャントEX,Desecration Invocation,,"An advanced form of Abyssal Trance that is stronger, lasts longer, and further boosts the recipient's Magick.",Mystic Knight,Dragon's Dogma
Augment,探知,Detection,,"Expands one's field of vision, more easily revealing unknown areas of the map | Removes more of the fog from the map when exploring an area the first time.",Magick Archer,Dragon's Dogma
Core Skill,広角斬,Devastate,,An advanced form of Hack that extends a chain of one-handed sword slashes across a broader range.,Warrior,Dragon's Dogma
Augment,俊敏,Dexterity,,Enables you to clamber up cliffs and other terrain more quickly | No effect when climbing ladders or creatures,Strider,Dragon's Dogma
Bow,とどめ射ち,Dire Arrow,,"Focuses the user's gathered strength into a single, devastating shot that grows in power as it is charged.",Ranger,Dragon's Dogma
Sword,えぐり突き2,Dire Gouge,,An advanced form of Gouge that appends still more strikes to an onslaught on a foe the user is clinging to.,Assassin,Dragon's Dogma
Core Skill,強連撃,Dire Onslaught,,An advanced form of Onslaught that strengthens a chain of one-handed slashes.,Mystic Knight,Dragon's Dogma
Core Skill,弐段跳躍,Double Vault,,An advanced form of Vault that kicks at the air to propel the user in a second leap.,Ranger,Dragon's Dogma
Sword,直下突き2,Downcrack,,An advanced form of Downthrust that strikes twice. It is more powerful and broader in reach.,Assassin,Dragon's Dogma
Sword,直下突きEX,Downcrush,,An advanced form of Downcrack that hits for greater damage and can land additional strikes on withdrawal.,Mystic Knight,Dragon's Dogma
Bow,降らし射ち2,Downpour Volley,,An advanced form of Cloudburst Volley that expands the area of the attack.,Strider,Dragon's Dogma
Sword,直下突き,Downthrust,,"Plants the blade into the earth at one's feet. Though its range is limited, the force behind the thrust is great.",Assassin,Dragon's Dogma
Sword,直下突き,Downthrust,,"Plants the blade into the earth at one's feet. Though its range is limited, the force behind the thrust is great.",Mystic Knight,Dragon's Dogma
Bow,しじま射ちEX,Eagle Sight,,An advanced form of Lyncean Sight that increases sight range level and consumes less of the user's Stamina.,Assassin,Dragon's Dogma
Dagger,流し暗殺,Easy Kill,,"Darts behind the target after parrying their attack, then slits their throat.",Assassin,Dragon's Dogma
Sword,大輪斬EX,Ecliptic Slash,,An advanced form of Corona Slash that further widens the radius of the blade's spin.,Warrior,Dragon's Dogma
Augment,薬効,Efficacy,,Increases the potency of curatives you use | Health and Stamina gain from curatives is increased by 20%. (Doesn't directly benefit Group Curatives ),Augments,Dragon's Dogma
Augment,薬効,Efficacy,,Increases the potency of curatives you use | Health and Stamina gain from curatives is increased by 20%. (Doesn't directly benefit Group Curatives ),Ranger,Dragon's Dogma
Augment,速離,Egression,,Facilitates easier escapes from battle | Halves the L-stick wiggles needed to free yourself from grabs,Augments,Dragon's Dogma
Augment,空撃,Eminence,,Renders your jumping attacks more powerful | Boosts Strength by 30% when jumping .,Strider,Dragon's Dogma
Core Skill,,Empale,,Release a stabbing strike straight forward.,Assassin,Dragon's Dogma
Augment,魔波,Emphasis,,Augments the power of magick attacks designed to knock foes down | Increases knockdown power of most but not all spells.,Sorcerer,Dragon's Dogma
Bow,鳳凰射ち2,Endecad Shot,,An advanced form of Heptad Shot that fires eleven arrows instead of seven.,Ranger,Dragon's Dogma
Augment,練気,Endurance,,Extends the limit of your Stamina | Increases stamina by 100.,Strider,Dragon's Dogma
Core Skill,連斬撃,Engrave,,An advanced form of a Carve that includes kicks after a flurry of dagger blows to strike at a broader range.,Ranger,Dragon's Dogma
Shield,イカロスカタパルト2,Enhanced Response,,An advanced form of Flight Response that uses blocked enemy strikes to launch the user highter into air and out of harm's way.,Assassin,Dragon's Dogma
Dagger,引き寄せ,Ensnare,,"Casts out cords to snare lightweight foes, pulling them to the ground to incapacitate them.",Strider,Dragon's Dogma
Augment,夜叉,Entrancement,,"Increases your Stamina, but only at nightime | Increases stamina by 100 at night .",Assassin,Dragon's Dogma
Augment,霊力,Equanimity,,"Amplifies your Magick when you stand at death's door | At Critical Health , Magick is increased by 50%. (20% in Dark Arisen )",Mage,Dragon's Dogma
Dagger,返し蹴り2,Escape Onslaught,,An adcanced form of Back Kick. The front kick strikes with greater force and makes the user more difficult to hit.,Assassin,Dragon's Dogma
Sword,かわし斬り,Escape Slash,,Steps backward in a swift evasive maneuver while delivering a slashing blow.,Warrior,Dragon's Dogma
Core Skill,大抜き,Eviscerate,,An advances form of Transfix that withdraws the blade with a sweep after stabbing the target.,Warrior,Dragon's Dogma
Staff,インスタントキリング,Exequy,,Invokes a magickal aura capable of destroying outright any foe held within its span for a set length of time.,Sorcerer,Dragon's Dogma
Augment,本領,Exhilaration,,Provides a surge in strength when you stand at death's door | At Critical Health strength is increased by 50%. (35% in Dark Arisen ),Augments,Dragon's Dogma
Sword,かわし斬り2,Exodus Slash,,An advanced form of Escape Slash that delivers a quick evasive slash. Renders the user invulnerable for longer and allows for extra attack blow.,Warrior,Dragon's Dogma
Bow,爆散魔鋲,Explosive Bolt,,"Fires a magickal arrow that remains lodged in the target for a time, which explodes when struck with a blow.",Magick Archer,Dragon's Dogma
Bow,爆散魔鋲2,Explosive Rivet,,An advanced form of Explosive Bolt that remains lodged in its target for a longer period of time and causes more damage.,Magick Archer,Dragon's Dogma
Bow,爆散魔鋲EX,Explosive Volley,,An advanced form of Explosive Rivet that fires additional magickally explosive arrows.,Magick Archer,Dragon's Dogma
Augment,速操,Facility,,"Hastens the reloading process for ballistae, allowing you to loose bolts more quickly | Greatly increases Ballista reloading speed. | Scroll of Facility | 1 and 2",Augments,Dragon's Dogma
Bow,仕込み爆音矢2,Fearful Din,,An advanced form of Flying Din that produces an even louder noise.,Ranger,Dragon's Dogma
Core Skill,,Feather Jump,,A light jump. More effective when grabbing to platforms or rocks.,Mystic Knight,Dragon's Dogma
Augment,闘魂,Ferocity,,Increases the lethality of your Core Skills | Increases the power of all Core Skills by 10%.,Warrior,Dragon's Dogma
Staff,ファイアギフト2,Fire Affinity,,"An advanced form of Fire Boon that extends and amplifies the enchantment, as well as the recipient's Magick.",Mage,Dragon's Dogma
Staff,ファイアギフト,Fire Boon,,Launches a bolt of magick that enchants and ally's weapon with fire.,Mage,Dragon's Dogma
Shield,ファイアエンチャント,Fire Enchanter,,Enchants the weapon of both the user and any nearby pawns with Fire.,Mystic Knight,Dragon's Dogma
Staff,ファイアギフトEX,Fire Pact,,"An advanced form of Fire Affinity that extends its duration and power, and further boosts the recipient's Magick.",Mage,Dragon's Dogma
Shield,ファイアガード,Firecounter,,Unleashes a knockdown wave when the user blocks an attack. A perfect block conjures Ingle to the enemy.,Mystic Knight,Dragon's Dogma
Augment,剛腕,Fitness,,Halves the Stamina consumed when you lift objects or grapple-hold opponents | Does not work when Climbing,Augments,Dragon's Dogma
Bow,連なり射ち2,Fivefold Flurry,,An advanced form of Threefold Arrow that fires five arrows in rapid succession.,Assassin,Dragon's Dogma
Shield,ファイアガード2,Flame Riposte,,An advanced form of Firecounter that persists for a longer period of time and conjures High Ingle .,Mystic Knight,Dragon's Dogma
Shield,ファイアエンチャント2,Flame Trance,,An advanced form of Fire Enchanter that extends and amplifies the enchantment as well as the recipient's magick. Affects entire party.,Mystic Knight,Dragon's Dogma
Dagger,火炎衣EX,Flameshroud,,An advanced form of Immolation that erodes even less of the user's life yet extends the duration of the flames.,Magick Archer,Dragon's Dogma
Shield,イカロスカタパルト,Flight Response,,Uses blocked enemy strikes to launch the user into the air and out of harm's way.,Assassin,Dragon's Dogma
Augment,流断,Flow,,Keeps you from being slowed while fording water or marshland | Increases movement speed through water. | Scroll of Flow,Augments,Dragon's Dogma
Bow,仕込み爆音矢,Flying Din,,"Fires an arrow that produces a deafening blare on impact, stunning the target, through it deals nearly no damage.",Ranger,Dragon's Dogma
Core Skill,コレクトショット,Focused Bolt,,An advanced form of Magick Bolt. Focuses the users active enchantment into a powerful burst that can be fired from the ground or air.,Mystic Knight,Dragon's Dogma
Bow,壁刺し射ち,Foot Binder,,Pins the target to the nearest wall for a time with a well-placed arrow. Quite effective in cramped quarters.,Ranger,Dragon's Dogma
Augment,剛健,Fortitude,,Reduces damage sustained from physical attacks | Physical damage is reduced by 30 health . (More so in Hard Mode ),Mystic Knight,Dragon's Dogma
Augment,輝運,Fortune,,Increases the likelihood enemies will drop Rift Crystals | Increases Rift Crystal drops from foes. (Doesn't work in Hard Mode except on Bitterblack Isle ). | Scroll of Fortune,Augments,Dragon's Dogma
Core Skill,転身,Forward Roll,,Curls forward into a tumble effective as an evasive maneuver.,Ranger,Dragon's Dogma
Bow,爆ぜ射ち2,Fracture Dart,,"An advanced form of Splinter Dart. Sends up an explosive arrow that splits in mid-air, showering an even wider area with smaller missiles.",Strider,Dragon's Dogma
Staff,フリージングゾーン,Frazil,,Creates a concentrated field of cold in front of the user that freezes solid whatever enemies it visits.,Mystic Knight,Dragon's Dogma
Staff,フロストスパイク,Frigor,,Generates a giant chunk of ice that can serve as a stepping stone.,Mystic Knight,Dragon's Dogma
Shield,アイスガード2,Frost Riposte,,An advanced form of Icecounter that persists for a longer period of time and conjures High Frazil range attack.,Mystic Knight,Dragon's Dogma
Shield,アイスエンチャント2,Frost Trance,,An advanced form of Ice Enchanter that extends and amplifies the enchantment as well as the recipient's magick. Affects entire party.,Mystic Knight,Dragon's Dogma
Bow,剛力射ち,Full Bend,,"Draws the bow with all the user's might, then looses a shot straight ahead.",Assassin,Dragon's Dogma
Sword,円月斬り2,Full Moon Slash,,An advanced form of Compass Slash gifted with broader reach and the ability to hit multiple times.,Assassin,Dragon's Dogma
Sword,円月斬り2,Full Moon Slash,,An advanced form of Compass Slash gifted with a broader reach and the ability to hit multiple times.,Mystic Knight,Dragon's Dogma
Staff,サンダーケージ,Fulmination,,"Envelops the user in lightning, enabling them to electrify foes nearby and add a bit of spark to the rest of party. (Attack with [Heavy] and [Light] , press [Jump] to cancel.)",Sorcerer,Dragon's Dogma
Sword,魔吸陣,Funnel Sigil,,"Draws a magick sigil that pulls in nearby lightweight enemies, collecting them together.",Mystic Knight,Dragon's Dogma
Bow,吸魔痕,Funnel Trail,,Looses a magickal arrow that draws in nearby lightweight foes.,Magick Archer,Dragon's Dogma
Dagger,風まとい2,Gale Harness,,An advanced form of Wind Harness that hastens the user's movement for a longer period of time.,Assassin,Dragon's Dogma
Bow,全霊弓,Gamble Draw,,Exhausts the entirety of the user's Stamina to fire a seeking shot which the user may steer for a time.,Ranger,Dragon's Dogma
Staff,ブリザードアロー,Gicel,,Conjures a twisting spike of ice that thrusts forward from the ground.,Sorcerer,Dragon's Dogma
Sword,えぐり突き,Gouge,,Stabs repeatedly at a large foe the user is clinging to.,Assassin,Dragon's Dogma
Augment,安着,Grace,,"Raises the threshold for taking damage from falls, allowing you to safely alight from greater heights | Allows one to fall from half as high again before taking Fall Damage . | Scroll of Grace",Augments,Dragon's Dogma
Staff,ヒーリングスポットEX,Grand Anodyne,,An advanced form of High Anodyne that restores more Health and lasts for an even longer period.,Mage,Dragon's Dogma
Staff,メテオフォールEX,Grand Bolide,,An advanced form of High Bolide that calls down an even greater numbers of meteors.,Sorcerer,Dragon's Dogma
Staff,サンダーウィップEX,Grand Brontide,,An advanced form of High Brontide that erodes less Stamina and periodically drops lightning bolts around the user.,Sorcerer,Dragon's Dogma
Staff,フロストスパイクEX,Grand Frigor,,An advanced form of High Frigor that generates an even greater quantity of icy spires.,Mystic Knight,Dragon's Dogma
Staff,サンダーケージEX,Grand Fulmination,,An advanced form of High Fulmination that erodes less Stamina and amplifies the spark granted to allies.,Sorcerer,Dragon's Dogma
Staff,ファイアボールEX,Grand Ingle,,An advanced form of High Ingle that looses a greater number of fiery projectiles that explode on contact.,Mystic Knight,Dragon's Dogma
Staff,サンダーレインEX,Grand Levin,,An advanced form of High Levin that smites foe with an even greater number of lightning bolts.,Mystic Knight,Dragon's Dogma
Dagger,魔斬波2,Grand Scension,,An advanced form of Scension that extends the shockwave's reach.,Magick Archer,Dragon's Dogma
Staff,ロックビートEX,Grand Seism,,An advanced form of High Seism that causes yet more eruptions of stone and expands the range of the tremors.,Sorcerer,Dragon's Dogma
Staff,サイレンズウォークEX,Grand Sopor,,An advanced form of High Sopor that expands the size of magickal sigil yet erodes less of the user's Stamina.,Mystic Knight,Dragon's Dogma
Staff,バインドアンカー,Grapnel,,Fires a magickal anchor that can bind a foe for a time.,Mage,Dragon's Dogma
Augment,魔抗,Gravitas,,Makes it difficult for foes to knock you off your feet whilst you intone spells | Increases knockdown resistances during spell incantation.,Sorcerer,Dragon's Dogma
Bow,帯魔剛2,Great Bracer Arrow,,An advanced form of Bracer Arrow that bolsters the whole party's resistance to enemy blows.,Magick Archer,Dragon's Dogma
Sword,魔撃砲2,Great Cannon,,An advanced form of Magick Cannon that increases the number of spellshots fired.,Mystic Knight,Dragon's Dogma
Bow,全霊弓2,Great Gamble,,An advanced form of Gamble Draw that boasts still greater power and can be steered for a greater length of time.,Ranger,Dragon's Dogma
Bow,挺身魔槍2,Great Sacrifice,,An advanced form of Sacrificial Bolt that boasts greater destructive power and slows time further while aiming.,Magick Archer,Dragon's Dogma
Bow,帯魔防2,Great Ward Arrow,,An advanced form of Ward Arrow that protects the entire party from debilitations.,Magick Archer,Dragon's Dogma
Sword,風車斬り2,Great Windmill,,An advanced form of Windmill Slash where the user spins the blade from side to side for more revolutions. The user may move about during the attack.,Assassin,Dragon's Dogma
Augment,気力,Grit,,Helps you maintain your mobility when you run out of stamina | Halves the recovery time when you run out of stamina .,Strider,Dragon's Dogma
Core Skill,,Hack,,Consecutive Slashes with the sword.,Warrior,Dragon's Dogma
Bow,降らし射ちEX,Hailstorm Volley,,An advanced form of Downpour Volley that launches more arrows and further expands the area of the attack.,Strider,Dragon's Dogma
Staff,キュアスポット,Halidom,,"Invokes a magickal sigil which clears the following from those who enter: Poison, Torpor, Silence, Burns, and Frostbite.",Mage,Dragon's Dogma
Shield,ホーリーガードEX,Hallowed Feint,,An advanced form of Blessed Riposte that further extends the duration and conjures even more blasts of holy light.,Mystic Knight,Dragon's Dogma
Shield,ホーリーエンチャントEX,Hallowed Invocation,,"An advanced form of Blessed Trance that is stronger, lasts longer, and further boosts the recipient's Magick.",Mystic Knight,Dragon's Dogma
Dagger,断頭台,Helm Splitter,,"Dives through the air while spinning, blades extended. Especially effective when performed from high places.",Strider,Dragon's Dogma
Bow,鳳凰射ち,Heptad Shot,,Looses seven arrows along a broad sweep.,Ranger,Dragon's Dogma
Staff,ヒーリングスポット2,High Anodyne,,"An advanced form of Anodyne whose sigil is larger, and persists for a longer period of time, and recovers more Health. Targets will also be healed for a small amount of time after leaving the sigil.",Mage,Dragon's Dogma
Staff,ブラインドウォーク2,High Blearing,,"An advanced form of Blearing that invokes a larger aura around the user, blinding foes who enter.",Mage,Dragon's Dogma
Staff,メテオフォール2,High Bolide,,An advanced form of Bolide that calls down a greater number of meteors. The user may move after deployment.,Sorcerer,Dragon's Dogma
Staff,サンダーウィップ2,High Brontide,,An advanced form of Brontide that calls forth a longer-lasting whip of lightnig that drops more bolts when dismissed.,Mystic Knight,Dragon's Dogma
Staff,フレイムウォール2,High Comestion,,An advanced form of Comestion that invokes an even longer wall of flame easily able to ignite foes.,Mystic Knight,Dragon's Dogma
Staff,インスタントキリング2,High Exequy,,An advanced form of Exequy that creates an aura capable of destroying any foe caught within it in a shorter period of time.,Sorcerer,Dragon's Dogma
