Japanese,English,english,speaker
アウグスト,Augusto,,
アクセル,Axel,,
アイセル,Aisel,,
バボ,Babo,,
バシアス,Bacias,,
中二階,Balcony,,
バルシ,Baris,,
バンデッドホーント,Ironclad Haunt,,
盗賊,Bandit,,
盗賊の隠れ家,Bandit Hideaway,,
バランジャ,Baranja,,
バーバラ,Barbara,,
バークレイ,Barclay,,
軍事演習棟,Barracks,,
兵舎,Barracks,,
バリス,Barris,,
バリー,Barry,,
バート,Bart,,
バートン,Barton,,
ベイジル,Basil,,
バジット,Basit,,
グリッテン砦前　戦野,Battlefield outside Fort Gritten,,
バイヤール,Bayard,,
浜辺の地下保管庫,Beachside Underground Stores,,
獣の将,Beast Master,,
軍獣強化場,Beast Training Ground,,
獣将の園生,Beastmaster's Garden,,
ベアトリクス,Beatrix,,
美容院前,Beauty Salon,,
エラン大門前,Before Elan Front Gate,,
グリッテン砦 正門前,Before Gritten's Main Gate,,
アーク前,Ark Exterior,,
謁見の間 手前,Before the Audience Chamber,,
秘泉の間,Before the Secret Spring,,
王家の墓前,Before the Tomb of the Royal Family,,
ベルス,Berce,,
ベレナス,Berenas,,
ベルク,Berg,,
ベルタ,Bertha,,
ベルタ盗賊団,Bertha's Bandit Group,,
ベルタ盗賊団のアジト,Bertha's Bandit Group Hideout,,
ベルトラン,Bertrand,,
ベステ,Beste,,
バートランド大橋,Betland Bridge,,
バートランド墓地,Betland Cemetery,,
バートランド東関所,Betland East Gate,,
バートランド山道,Betland Mountain Road,,
バートランド平原,Betland Plains,,
バートランド地下道,Betland Underground Passage,,
聖雫の間,Sacred Drops Chamber,,
妖艶な錬金術師,Bewitching Alchemist,,
ベイザ,Beza,,
大樹の広場,Great Tree Plaza,,
ビルジ,Birger,,
鳥寄せ岩,Birdcall Rock,,
黒呪の迷宮,Bitterblack Maze,,
黒呪の迷宮：入り江,Bitterblack Maze Cove,,
黒呪の迷宮：黒呪の祭壇,Bitterblack Maze: Altar of the Black Curse,,
黒呪の迷宮：羨月楼,Bitterblack Maze: Duskmoon Tower,,
黒呪の迷宮：異邦の落都,Bitterblack Maze: Fallen City,,
黒呪の迷宮：凱旋者なき庭園,Bitterblack Maze: Garden of Ignominy,,
黒呪の迷宮：冥府１,Bitterblack Maze: Netherworld 1,,
黒呪の迷宮：冥府２,Bitterblack Maze: Netherworld 2,,
黒呪の迷宮：冥府３,Bitterblack Maze: Netherworld 3,,
黒呪の迷宮：冥府４,Bitterblack Maze: Netherworld 4,,
黒呪の迷宮：瘴気の満ちる聖堂,Bitterblack Maze: Noxious Cathedral,,
黒呪の迷宮：異界,Bitterblack Maze: Rift,,
黒呪の迷宮：畏れの天蓋,Bitterblack Maze: Rotunda of Dread,,
黒呪の迷宮 深淵,Bitterblack Maze: The Abyss,,
黒呪の迷宮：裏切り者の処刑塔,Bitterblack Maze: Traitors' Tower,,
黒淵谷,Black Abyss Valley,,
黒竜,Black Dragon,,
テル組合宿　黒ブドウ亭,Black Grape Inn,,
黒示す王の間,Black King's Room,,
黒騎士,Black Knight,,
刃擦れの細道,Blade-Scarred Path,,
ブレア,Blair,,
開かずの路,Blocked Passage,,
魔赤島,Bloodbane Isle,,
魔赤島・絶崖,Bloodbane Isle Precipice,,
魔赤島・山頂,Bloodbane Isle Summit,,
血すすぎ河原,Blood-soaked Riverbank,,
滝裏の青洞,Blue Cave in the Waterfall,,
青爪浜,Blueclaw Beach,,
青静の遺跡,Blue Stillness Ruins,,
蒼水路,Blue Waterway,,
ボーデシア,Boadicea,,
ボブ,Bob,,
ボーナスダンジョン【BO】,Bonus Dungeon (BO),,
ボーナスダンジョン【ゴールド】,Bonus Dungeon (G),,
ボーナスダンジョン【HO】,Bonus Dungeon (HO),,
ボーナスダンジョン【JP】,Bonus Dungeon (JP),,
ボーナスダンジョン【リム】,Bonus Dungeon (R),,
ボーナスダンジョン【SP】,Bonus Dungeon (SP),,
ボーナスダンジョン【XP】,Bonus Dungeon (XP),,
ボーナスダンジョンロビー,Bonus Dungeon Lobby,,
ボリス,Boris,,
大石塊(アーク),Boulder (The Ark),,
賞金稼ぎ,Bounty Hunter,,
木陰の古井戸,Bower Old Well,,
石像立つ木陰,Canopied Statuary,,
少年,Boy,,
ブラッド,Brad,,
ブレーデン,Braden,,
静慮の枝,Branch of Contemplation,,
懐旧の枝,Branch of Nostalgia,,
追憶の枝,Branch of Remembrance,,
悔恨の枝,Branch of Remorse,,
ブランドン,Brandon,,
ブランドン武具店,Brandon's Armor Shop,,
ブレット,Brett,,
ブリア海岸,Breya Coast,,
ブリジット,Bridgette,,
ブルース,Bruce,,
ブルーノ,Bruno,,
ブッグ,Boog,,
ブルジュ,Burj,,
羽音の高台,Wingbeat Plateau,,
バイラム,Bayram,,
目撃者予備枠30,Bystander,,
カデル,Cadell,,
カイン,Cain,,
キャメロン,Cameron,,
カミュ,Camus,,
キャナ,Cana,,
キャプテンオーク,Orc Captain,,
虜囚尋問牢,Prisoner Interrogation Gaol,,
カラドック,Caradoc,,
カール,Carl,,
カルロッタ,Carlotta,,
キャリー,Carrie,,
腐肉のほとり,Carrion Bank,,
ケイシー,Casey,,
ケイシーの雑貨店,Casey's General Store,,
カタコンベ,Catacombs,,
冥府下りの洞穴,Hell's Descent Cave,,
冥府下りの洞穴 奥底,Hell's Descent Cave Depths,,
冥府下りの洞穴 深層部,Hell's Descent Cave Inner Depths,,
憩いの坑洞,Cavern of Repose,,
憩いの坑洞 最深部,Cavern of Repose Innermost Depths,,
憩いの坑洞 中層,Cavern of Repose: Middle Level,,
痛刻の洞,Cave of Suffering,,
セシリー,Cecily,,
セドリック,Cedric,,
根の独房,Cell,,
ファーラナ中央洲,Central Farana Sandbank,,
中央大水廊,Waterway Gallery,,
中央広場,Central Plaza,,
汚水溜め,Cesspool,,
不浄の掃き溜め,Cesspool of Filth,,
聖滝の間,Holy Waterfall Hall,,
チャールズ,Charles,,
チャールストン,Charleston,,
チャウラ,Caura,,
チェスター,Chester,,
チーフマンドラゴラ,Chief Mandragora,,
子供,Child,,
クロエ,Chloe,,
クリスティーヌ,Christine,,
クリストフ,Christoph,,
チャンク,Chunk,,
キアラン,Ciarán,,
クラン管理人枠,Clan Administrator,,
クラン拠点,Clan Hall,,
クラン拠点用ポーン枠10,Clan Member's Pawn_,,
クラン拠点用ポーン枠2,Clan Pawn,,
クラリッサ,Clarissa,,
断崖の坑道,Cliff-Side Tunnel,,
コレット,Colette,,
生活用水汲み場,Village Well,,
コナーン,Conan,,
建設資材集積場,Construction Material Depot,,
工事作業員1-A,Construction Worker,,
ポーン会話用クール,Cool Pawn,,
コランタン,Corentin,,
コーネリア,Cornelia,,
滝を臨む蝕地,Mirefall Cliff,,
コリー,Cory,,
クラフトルーム,Craft Room,,
クラフトサポート1,Crafter NPC,,
クレイグ,Craig,,
クロムウェル,Cromwell,,
崩れた進入路,Crumbling Entrance Path,,
崩れた進入路 最深部,Crumbling Entrance Path Depths,,
岩砕きの河岸,Crushing Rock Riverbank,,
せせらぎの地下聖堂,Crypt of Murmurs,,
カーティス,Curtis,,
セロ,Cyril,,
サイラス,Cyrus,,
ダクレイム砦,Dacreim Fortress,,
ダリア,Dalia,,
ダーマード,Damard,,
ダン,Dan,,
ダナ,Dana,,
ダーナ,Dana,,
ダナ・セントラム,Dana Centrum,,
ダナ族長の家,Dana Chief's Home,,
ダナンデール洞窟,Danandell Cave,,
ダナンデール洞窟　深部,Danandell Cave Depths,,
ダナンデール洞窟　最深部,Danandell Cave Innermost Depths,,
ダナンデール洞窟　通路,Danandell Cave: Passage,,
円形舞踊場,Dancing Circle,,
虹舞い洞窟,Dancing Rainbow Cave,,
虹舞い洞窟　深部,Dancing Rainbow Cave Depths,,
虹舞い洞窟　危険区域,Dancing Rainbow Cave: Dangerous Area,,
ダレン,Daren,,
ダリン,Darrin,,
鎧幽の巨岩,Dark Armor Crag,,
闇大陸：アッカーシエラン,Dark Continent: Acre Selund,,
闇大陸：レスタニア,Dark Continent: Lestania,,
闇大陸：メルゴダ,Dark Continent: Mergoda,,
闇大陸：フィンダム,Dark Continent: Phindym,,
深緑のテラス,Dark Green Terrace,,
秘泉への暗道,Dark Path to the Secret Spring,,
秘泉への暗道 深層部,Dark Path to the Secret Spring Depths,,
冥き大地下墓地,Dark Great Catacombs,,
暗樹の大淵,Dark Woods Great Depths,,
闇に覆われた錬金研究棟,Darkness Cloaked Alchemical Research Bldg.,,
闇に覆われた錬金研究棟 １階,Darkness Cloaked Alchemical Research 1st Floor,,
闇に覆われた錬金研究棟 ２階,Darkness Cloaked Alchemical Research 2nd Floor,,
闇に覆われたドリード城,Darkness Cloaked Dreed Castle,,
闇に覆われたドリード城 中央階段,Darkness Cloaked Dreed Castle Central Staircase,,
闇に覆われたドリード城 地下水路,Darkness Cloaked Dreed Castle Waterway,,
闇に覆われたメガド回廊,Darkness Cloaked Megado Corridor,,
闇に覆われたメガド回廊 １階,Darkness Cloaked Megado Corridor 1st Floor,,
闇に覆われたメガド回廊 ３階,Darkness Cloaked Megado Corridor 3rd Floor,,
闇に覆われたメガド王宮層,Darkness Cloaked Mergoda Royal Palace Lvl.,,
闇に覆われたメルゴダ護政区,Darkness Cloaked Mergoda Security District,,
闇に覆われた軍事演習棟,Darkness Cloaked Military Training Facility,,
闇に覆われた軍事演習棟 １階,Darkness Cloaked Training Facility 1st Floor,,
闇に覆われた軍事演習棟 ２階,Darkness Cloaked Training Facility 2nd Floor,,
闇に覆われたシェドレアン大神殿,Darkness Cloaked Shadolean Great Temple,,
死王の迷宮,Dead Lord's Labyrinth,,
ディーン,Dean,,
朽ちかけた井戸,Decaying Well,,
ディナン山道,Deenan Mountain Road,,
ディナン深層林,Deenan Woods,,
霧たなびく深森,Deep Misty Woods,,
水陰の淵辺,Deep Water's Edge,,
ディプニエ大侵林,Deepney Great Forest,,
デリーン,Deryn,,
デミル,Demir,,
魔軍緊急野営地,Demon Army Camp,,
魔軍進行中継場,Demon Army Relay Station,,
魔軍出撃待機所,Demon Army Standby Spot,,
魔軍戦車駐留地,Demon Army War Machine Garrison,,
魔犬養育所,Demon Dog Kennel,,
魔狼の縄張り,Demon Wolf Territory,,
魔獣の巣穴,Demon's Den,,
デニス,Dennis,,
リムの淵辺,Depths of the Rift,,
デレード,Deredo,,
デレク,Derek,,
廃村エスリグ,Deserted Village of Aethrig,,
廃村デニスィル,Deserted Village of Denisyr,,
廃村クラーハ,Deserted Village of Kraag,,
廃村ナバド,Deserted Village of Nabhadh,,
廃村ルフロー,Deserted Village of Ruflow,,
殲滅指定区域　最奥下層,Extermination Area: Depths,,
殲滅指定区域　最奥上層左,Extermination Area: Depths Left,,
殲滅指定区域　最奥上層右,Extermination Area: Depths Right,,
殲滅指定区域　左方,Extermination Area: Left Side,,
殲滅指定区域　右方,Extermination Area: Right Side,,
落露の大穴,Dewdrop Crater,,
デューイ,Dewi,,
ディアドラ,Deirdre,,
ディアマンテス,Diamantes,,
ダイオン,Dian,,
ディッカ,Dikka,,
ディンガス,Dingus,,
ダイアン,Dion,,
ディリス,Dirith,,
変装したガルドリン,Disguised Gurdolin,,
神花のテラス,Divine Blossom Terrace,,
ドハティ,Doherty,,
ドルキ,Dolkey,,
ドネル,Donnell,,
異界の扉,Door to the Other World,,
ドリス,Doris,,
ドロテア,Dorothea,,
ドロシー,Dorothy,,
ダウ渓谷,Dowe Valley,,
竜スキル合体,Dragon Skill Coalescence,,
竜の巣,Dragon's Nest,,
ドラワン,Drawan,,
ドラワン教会,Drawan Church,,
ドリード城,Dreed Castle,,
ドリード連絡路,Dreed Connecting Passage,,
ドリード排水路,Dreed Drainage Channels,,
ドリード監視塔,Dreed Watchtower,,
ドリード水路跡,Dreed Waterway Ruins,,
ドルー,Drew,,
小塔傍の枯れ井戸,Towerside Dry Well,,
酔っぱらった男,Drunk Man,,
酔っぱらった女,Drunk Woman,,
酔っ払い,Drunkard,,
乾いた地下倉庫,Arid Storage,,
枯れ井戸の中（カスタム）00,Dry well interior (custom) 00,,
デュボワ,Dubois,,
ダドリー,Dudley,,
デューク,Duke,,
ダナウィンの挑堂,Dunhain's Hall of Trials,,
ドワーフオーク,Dwarf Orc,,
暗黒の統べる地　東端,East Land of Darkness,,
ミスリウ森林 東側,East Mysree Forest,,
東ザンドラ廃墟群,East Zandora Ruins,,
ウルテカ山岳 東部,Eastern Urteca Mountains,,
ザンドラ東部,Eastern Zandora,,
エコール,Ecole,,
エディ,Eddie,,
エディーズ,Eddys,,
イーデン,Eden,,
エイリーン,Eileen,,
エジェ,Eje,,
エクレム,Ekrem,,
エラン採石洞,Elan Quarry Cave,,
エラン採石洞　最深部,Elan Quarry Cave Innermost Depths,,
エラン採石洞　中央部,Elan Quarry Cave: Center,,
エラン水林,Elan Water Grove,,
エラン水林 深層,Elan Water Grove Depths,,
エラン水林 船着き場,Elan Water Grove Wharf,,
エレメントアーチャー,Element Archer,,
エルフ遺跡（カスタム）00,Elf ruins (custom) 00,,
エリ警備塔,Eli Guard Tower,,
エリクシル精製室,Elixir Refining Chamber,,
エリン,Ellen,,
エリオット,Elliot,,
エルマー,Elmer,,
エルネア・スプリング,Elnea Spring,,
エルセン,Elsen,,
エルトン,Elton,,
エルナ,Erna,,
エルネド,Eluned,,
エメラダ,Emerada,,
エミール,Emil,,
エミリア,Emilia,,
エミーネ,Emine,,
エンポリオ,Emporio,,
虚ろの小堂,Empty Chapel,,
エンド誘導予備1,End Content NPC,,
エンド誘導予備2,End Content NPC,,
エンド誘導予備3,End Content NPC,,
エンデール,Endale,,
エンディング用部屋,Ending Office,,
エンフ,Enfys,,
エンナ,Enna,,
エニス,Ennis,,
エルデム,Erdem,,
エルテ・ディナン,Erte Deenan,,
エルドアン,Erdogan,,
エセン,Esen,,
エテルナ,Eterna,,
エテルナ装具屋,Eterna's Outfitter,,
イーサン,Ethan,,
エセル,Ethel,,
エトナ,Etna,,
ユージーン,Eugene,,
エウニケ,Eunike,,
エバ,Eva,,
イベントダンジョン,Event Dungeon,,
イベントビューアー部屋,Event Viewer Room,,
イーヴィ,Evey,,
悪しき竜のねぐら,Evil Dragon's Roost,,
エヴレン,Evren,,
疲弊した盗賊男,Exhausted Male Bandit,,
調査隊駐屯地,Expedition Garrison,,
ファビオ,Fabio,,
妖精の枯れ井戸,Fairy's Withered Well,,
ファルク,Falk,,
いつわりの遺構,False Remains,,
いつわりの遺構 深層部,False Remains Inner Depths,,
いつわりの遺構 武器庫,False Remains: Armory,,
いつわりの遺構 通路,False Remains: Passage,,
狂信者の潜伏地,Fanatic's Hiding Ground,,
ファーラナ平原,Farana Plains,,
ファーラナ平原 中央,Farana Plains Center,,
ファーラナ平原 船着き場,Farana Plains Wharf,,
ファーラナ遺跡,Farana Ruins,,
ファーラナ遺跡　深部,Farana Ruins Depths,,
ファーラナ遺跡　危険区域,Farana Ruins: Dangerous Area,,
農夫,Farmer,,
最果ての岸,Farthest Bank,,
フェデルコ,Federico,,
フェリクス,Felix,,
女性神官,Female Priest,,
女性戦士,Female Soldier,,
女戦士,Female Soldier,,
ファーガル,Fergal,,
ファーガソン,Ferguson,,
フェルヤナ関所前,Feryana Border Checkpoint,,
フェルヤナ荒原,Feryana Wilderness,,
フェルヤナ荒原 城下,Feryana Wilderness by Castle,,
悪鬼の岩窟,Demon's Grotto,,
ファイター,Fighter,,
最終防衛区画,Final Defense Area,,
フィンバー,Finbar,,
フィン,Fionn,,
火垂れ山野営地,Firefall Mountain Campsite,,
火垂れ山拝竜院,Firefall Mountain Dragon Temple,,
火垂れ山拝竜院 最深部,Firefall Mountain Dragon Temple Depths,,
火垂れ山拝竜院 中層,Firefall Mountain Dragon Temple: Middle,,
火垂れ山の穿ち石,Firefall Mountain Eroded Rock,,
第一防衛区画,First Defense Area,,
第一の門,First Gate,,
第一捕虜収容所,First Prison Camp,,
フラナン,Flannan,,
フラベル,Flavell,,
フラベルの店,Flavell's Shop,,
フロックヴァルト大橋,Flocwald Bridge,,
お花ちゃん,Little Flower,,
異邦の岬,Foreign Cape,,
森小人の集落,Forest Goblins' Village,,
森民の地下道,Forest People's Tunnel,,
森の廃墟地下,Forest Ruins Cellar,,
森精の隠れ家,Forest Sprite's Refuge,,
霧の森,Forest of Mist,,
霧の森 征圧エリア １,Forest of Mist Conquest Area 1,,
霧の森 征圧エリア ２,Forest of Mist Conquest Area 2,,
霧の森 征圧エリア ３,Forest of Mist Conquest Area 3,,
霧の森 征圧エリア ４,Forest of Mist Conquest Area 4,,
霧の森 征圧エリア ５,Forest of Mist Conquest Area 5,,
霧の森 征圧エリア ６,Forest of Mist Conquest Area 6,,
霧の森 征圧エリア ７,Forest of Mist Conquest Area 7,,
忘却の廃村,Forgotten Abandoned Village,,
旧闘技場跡地,Former Arena,,
休憩所跡地,Former Rest Station,,
見捨てられた井戸,Forsaken Well,,
見捨てられた井戸　危険区域,Forsaken Well: Dangerous Area,,
ティネス砦,Fort Thines,,
ティネス砦　大食堂,Fort Thines: Great Dining Hall,,
城の古井戸,Fort's Old Well,,
城塞都市メガド,Fortress City Megado,,
城塞都市メガド 美容院前,Fortress City Megado: Beauty Salon,,
城塞都市メガド 旧英霊廟前,Fortress City Megado: Before Old Epitaph Road Shrine,,
城塞都市メガド 水車部屋前,Megado: Water Wheel Chamber Exterior,,
城塞都市メガド 城門,Fortress City Megado: City Gate,,
城塞都市メガド クラフトルーム,Fortress City Megado: Workshop,,
城塞都市メガド 大通り,Fortress City Megado: Main Street,,
城塞都市メガド 広場,Fortress City Megado: Plaza,,
城塞都市メガド 裏広場,Fortress City Megado: Rear Square,,
城塞都市メガド 居住層,Fortress City Megado: Residential Level,,
城塞都市メガド 王宮層,Megado: Royal Palace Level,,
城塞都市メガド 王宮層 玉座,Megado: Royal Palace Level Throne,,
城塞都市メガド 酒場,Fortress City Megado: Tavern,,
砦前・千本棘の陣,Fortress Outskirts: Thousand Needles,,
不浄の地下水道,Defiled Waterway,,
フラン,Fran,,
フランチェスカ,Francesca,,
フレッド,Fred,,
フレディー,Freddy,,
フロイト,Freud,,
フレイア,Freya,,
氷気の遺路,Frigid Ancient Passage,,
氷気の遺路　深部,Frigid Ancient Passage Depths,,
氷気の遺路　　危険区域,Frigid Ancient Passage: Dangerous Area,,
大門前,Front Gate,,
菌糸の襲窟,Fungal Colony Caves,,
菌糸の襲窟　脇道,Fungal Colony Caves: Byway,,
菌糸の襲窟　深層,Fungal Colony Caves: Depths,,
菌糸の襲窟　鍾乳通路,Fungal Colony Caves: Passage,,
菌糸の襲窟　中層,Fungal Colony Caves: Middle Level,,
ガリプ,Gallip,,
呪詛の庭,Garden of Curses,,
ガルドノック砦,Gardnox Fortress,,
ガルドノック哨戒地,Gardnox Patrol Area,,
ガルドノック廃水廊,Gardnox Sewers,,
ガルドノック廃水廊　深部,Gardnox Sewer Depths,,
ガルドノック廃水廊　危険区域,Gardnox Sewer: Dangerous Area,,
饒舌なスケルトン,Garrulous Skeleton,,
ガス,Gas,,
ガッシュ,Gash,,
大門前野営地,Gate Camp,,
聖域の門,Gate of Sacred Grounds,,
波打ちの門洞,Wavecrash Cave,,
ガヴァン,Gawain,,
ガラダ,Gearóid,,
ガラダの護衛戦士,Gearóid's Escort Guard,,
ジェネラルオーク,General Orc,,
ジェラール,Gerald,,
ゲルト,Gerd,,
ジェレン,Geren,,
イェルハルド,Gerhard,,
ガーシュウィン,Gershwin,,
オオネズミ,Giant Rat,,
ギブソン,Gibson,,
ギリアム,Gilliam,,
ジリアン,Gillian,,
ギルロイ,Gilroy,,
ギルスタン,Gilstan,,
ジネット,Ginette,,
少女,Girl,,
ジゼル,Giselle,,
グリニス,Glenis,,
グレナー,Glenna,,
グロリア,Gloria,,
燐光虫の洞窟,Glowworm Cave,,
グリンデュア,Glyndwr,,
グリンデュア・セントラム,Glyndwr Centrum,,
ゴビネット,Gobinet,,
ゴブリン,Goblin,,
小鬼の野営地,Goblin Camp,,
小鬼の物見台,Goblin Lookout,,
ゴーゴ,Gogo,,
ゾマ組合宿　金の杯亭,Golden Tankard Inn,,
ゴルゴラン,Golgorran,,
ゴルタス,Goltas,,
ゴーン,Gowan,,
ゴートン,Gordon,,
ゴート,Gort,,
グランエント,Grand Ent,,
グレイ,Gray,,
大神殿前広場,Great Temple Plaza,,
大翼の谷,Great Wings Valley,,
緑夜の庵,Green Nights Retreat,,
蒼葉のテラス,Greenleaf Terrace,,
グレゴリー,Gregory,,
グリンメル遺跡,Grinmel Ruins,,
グリンメル遺跡　中深部,Grinmel Ruins Depths,,
グリンメル遺跡　中央通路,Grinmel Ruins Center Passage,,
グリンメル遺跡　最深部,Grinmel Ruins Innermost Depths,,
グリンメル遺跡　危険区域,Grinmel Ruins: Dangerous Area,,
グリッテン砦,Fort Gritten,,
グリッテン砦　通行許可,Fort Gritten Permit Office,,
グローン・ノス,Groan Nos,,
呻きの枯れ井戸,Groaning Old Well,,
禁域守の神官,Guardian Priest of the Wasteland,,
ギュンター,Gunther,,
ガルドリン,Gurdolin,,
３周年を祝うガルドリン,Gurdolin celebrating 3rd Anniversary,,
水声の瞑堂,Echotide Meditation Hall,,
ガイ,Guy,,
グェネイラ,Gwenhwyfar,,
ハディン地下古道,Hadin Underground Old Road,,
ハディン地下古道　深部,Hadin Underground Old Road Depths,,
ハディン地下古道　中央部,Hadin Underground Old Road: Center,,
ハディン地下古道　危険区域,Hadin Underground: Dangerous Area,,
魔角の間,Hall of the Magic Horns,,
ハムザ,Hamza,,
ハンコック,Hancock,,
ハンナ,Hannah,,
ハロルド,Harold,,
ハリエット,Harriet,,
ハーヴェイ,Harvey,,
ホーソーン,Hawthorne,,
ハヤル,Hayal,,
ヘイデン,Hayden,,
ヘザー,Heather,,
飛天のテラス,Soaring Sky Terrace,,
飛天のテラス　危険区域,Soaring Sky Terrace: Dangerous Area,,
飛天のテラス　深層,Soaring Sky Terrace Depths,,
ヘフィーナ,Hefina,,
ハインツ,Heinz,,
エナン,Enan,,
ヘンリー,Henry,,
臥竜のうろ,Wyrmcradle,,
隠者の家,Hermit's House,,
英霊眠りし道,Epitaph Road,,
英霊眠りし道 洞窟 深層 脇道,Epitaph Road Cave Depths: Byway,,
英霊眠りし道 洞窟 深層 第一の間,Epitaph Road Cave Depths: 1st Room,,
英霊眠りし道 洞窟 深層 第四の間,Epitaph Road Cave Depths: 4th Room,,
英霊眠りし道 洞窟 深層 第二の間,Epitaph Road Cave Depths: 2nd Room,,
英霊眠りし道 洞窟 深層 石像の間,Epitaph Road Cave Depths: Statue Room,,
英霊眠りし道 洞窟 深層 第三の間,Epitaph Road Cave Depths: 3rd Room,,
英霊眠りし道 洞窟 深層,Epitaph Road Cave Depths,,
英霊眠りし道 洞窟 第一の間,Epitaph Road Cave: 1st Room,,
英霊眠りし道 洞窟 第四の間,Epitaph Road Cave: 4th Room,,
英霊眠りし道 洞窟 通路,Epitaph Road Cave: Passage,,
英霊眠りし道 洞窟 第二の間,Epitaph Road Cave: 2nd Room,,
英霊眠りし道 洞窟 石像の間,Epitaph Road Cave: Statue Room,,
英霊眠りし道 洞窟 第三の間,Epitaph Road Cave: 3rd Room,,
英霊眠りし道 遺跡,Epitaph Road Ruins,,
英霊眠りし道 遺跡 深層 第一の間,Epitaph Road Ruins Depths: 1st Room,,
英霊眠りし道 遺跡 深層 第四の間,Epitaph Road Ruins Depths: 4th Room,,
英霊眠りし道 遺跡 深層 大広間,Epitaph Road Ruins Depths: Great Hall,,
英霊眠りし道 遺跡 深層 広間,Epitaph Road Ruins Depths: Hall,,
英霊眠りし道 遺跡 深層 隠し通路,Epitaph Road Ruins Depths: Secret Path,,
英霊眠りし道 遺跡 深層 通路,Epitaph Road Ruins Depths: Passage,,
英霊眠りし道 遺跡 深層 第二の間,Epitaph Road Ruins Depths: 2nd Room,,
英霊眠りし道 遺跡 深層 石像の間,Epitaph Road Ruins Depths: Statue Room,,
英霊眠りし道 遺跡 深層 第三の間,Epitaph Road Ruins Depths: 3rd Room,,
英霊眠りし道 遺跡 深層 武神の間,Epitaph Road Ruins Depths: War God Room,,
英霊眠りし道 遺跡 深層,Epitaph Road Ruins Depths,,
英霊眠りし道 遺跡 第一の間,Epitaph Road Ruins: 1st Room,,
英霊眠りし道 遺跡 第四の間,Epitaph Road Ruins: 4th Room,,
英霊眠りし道 遺跡 通路,Epitaph Road Ruins: Passage,,
英霊眠りし道 遺跡 第二の間,Epitaph Road Ruins: 2nd Room,,
英霊眠りし道 遺跡 螺旋回廊,Epitaph Road Ruins: Spiral Corridor,,
英霊眠りし道 遺跡 石像の間,Epitaph Road Ruins: Statue Room,,
英霊眠りし道 遺跡 第三の間,Epitaph Road Ruins: 3rd Room,,
英霊眠りし道 祠 深層,Epitaph Road Shrine Depths,,
英霊眠りし道 祠 第一の間,Epitaph Road Shrine: 1st Room,,
英霊眠りし道 祠 第四の間,Epitaph Road Shrine: 4th Room,,
英霊眠りし道 祠 通路,Epitaph Road Shrine: Passage,,
英霊眠りし道 祠 第二の間,Epitaph Road Shrine: 2nd Room,,
