old,new
《証拠》を確認する,"Review ""Evidence"""
――今日はやめる,...Stop for today
もう沢山だ！！,
"このままでは埒が明かない――
強硬手段が効かないか、実際に試させてもらう
覚者、悪いがこれにお前の意思は関係ない",
"少しあっちを向いていろ
お前に見せるには
少し刺激が強いからな――",
"まったく、手こずらせやがって
明日はもう少し喋る気になるだろう――",
"さて――裏切り者と思わしき人間と
オークが共に居た",
"これだけで限りなく決定的に
近い状況ではあるが、一応聞いてやる",
一体あの場所で何をしようとしていた？,
何ヲシテイタカ？,
"フン――愚カナ人間メ
アノ死ンダ人間ニデモ、聞イテミロ！",
"おーくガ、人間ニ降参スルコトナド
火山ガ噴火シヨウガアリエナイ！",
"チッ――
当然だが簡単に答えてはくれないか",
"覚者、まずは事件現場を調査して
《証拠》を手に入れよう
それを突きつけ、糸口にするんだ――",
脅す,Threaten
《証拠》を突きつける,"Present ""Evidence"""
――やめる,...Cancel
"どのような手を使ってでも協力してもらうぞ
まずは――この文書についてだ",
――！,
顔色が変わったな,
"お前がメガドに訪れたのは
これを届けるためだな？",
"――
――――",
――――まぁいい,
"この文書――オーク軍の暗号か何かだな
なんと書いてあるか、読み上げろ",
――グハハ！,
！,
――オ前タチ、読メナインダロウ？,
"読ンデヤル――ワケナイダロウガ！
愚カダナ！　貴様ラ、愚カダナ！",
"驚いたな――
俺たち、オークにコケにされてるぞ！",
"おい、いずれ分かることなんだ――
時間を稼いでも無駄だぞ",
グハハ！　面白イ人間ドモダ,
"クソ、完全に舐められちまったようだな
――すまない",
"オークを動揺させるには
もっと決定的な証拠が必要だ
やはりこの文書を翻訳するしかないか――",
"覚者、＜オーク軍の密通文書＞を翻訳する手段を
メガドで探してみよう
内容さえ分かったら、あとは突きつけてやるだけだ",
脅す,Threaten
《証拠》を突きつける,"Present ""Evidence"""
――やめる,...Cancel
"バジットの時に世話になった<NPC 698>なら
何か知っているかもしれないな",
待たせたな,
"手紙の内容は
“オーク軍は要請に応え、メガドに援軍を手配した”
という旨だった――間違いないな？",
グゥ―――！,
"問題は――
一体誰がオークの援軍を要請したか",
"その手がかりは、ナヴィドの執事である
エニスが握っていた――はずだったんだがな",
なぜ取引相手であるエニスを殺したんだ？,
ウグググ――,
――ウガァァ！,
"アノ人間来タアト――
覚者、オ前ノ臭イガシタ！",
！！,
"アノ人間ガ、おーく軍ヲ裏切リ、覚者ト組ンデ
俺ヲ殺ソウトシタ――ダカラ殺シタ",
それは――,
"グルル！
おーくハ！　裏切リヲ！　許サナイ！",
"誤解だった――と言っても今更意味はない
それよりも、この証言を
何かに活かせないか考えよう",
オークは裏切りを許さない――か,
"取引相手すら手にかけるほど
激昂するとはな
その特性――何かに利用できるかもな",
"現場を調べたら見つかったこの密通文書――
メガドの通称 “ガクシャ” に訳してもらったら
こんなことが書いてあった",
"“オーク軍はメガドに援軍を手配した”
要請したのは、一体誰なのか――",
"だが、それを知っている<NPC 586>は殺された
“覚者の臭いがしたから、裏切られたと思った”
――という動機らしい",
"オークは裏切りを絶対に許さない――
この特性は利用できるかもしれないぞ
覚えておこう",
お前自身のことを聞かせてもらおうか,
いつ頃からオーク軍に所属しているんだ？,
フン――貴様ラ人間ニ、関係アルノカ？,
"ダガコレダケ教エテヤル
――命乞イナラ今ノウチダ",
何だと――？,
"おーく軍ハ、スグチカラヲ溜メ、戻ッテクル
ソシテ俺ヲ助ケ出シ、チッポケナ人間ドモヲ
マタ奴隷ニスルノダ",
このオーク――かなり自信があるらしいな,
"オーク軍の情報を引き出すには
この鼻っ柱をへし折ってやるか",
"あるいは、口を滑らしてしまうような
上機嫌にさせる証拠があると
良いんだが――",
脅す,Threaten
《証拠》を突きつける,"Present ""Evidence"""
――やめる,...Cancel
いや、お前の話を疑うつもりは無い,
"実はここだけの話なんだが――
引いたはずのオーク軍がいくらか
この街に戻っているという噂があってな",
――何？,
"まさか、あのオーク軍がたった1人のオークを
救うため戻ってくるとはにわかに信じ難いが――",
グァッハッハッハ！　ヤハリナ！,
"貴様ラ皆殺シニシテヤル！
アノめがど奪取以降、マタ人間ノ血ヲ
浴ビラレル時ガ来タノダ！",
メガド奪取以降――か？,
"お前はオーク軍に占領されていた頃から
メガドにいたのか？",
"フン、当然ダ！
常ニ最前線ニ、在ルコトコソ戦士ノ証",
"人間ドモガ、愚カナ反抗ヲ起コシタラ
ソノ時、伝令兵ガイナケレバ
一体誰ガ事態ヲ伝達スル！",
――覚者、聞いたか？,
"どうやらこのオークは
占領下のメガドについて詳しいようだぞ",
"もしかすると、ナヴィドの悪事の証拠を
入手できるかもしれないな
街に増えるオークどもの真意も気になるが――",
"まずは上機嫌で口が軽くなっている今
占領下の<NPC 681>の情報を聞き出そう",
"このオークは繰り返していた――
“今にオークの仲間が、体勢を立て直し
  メガドを再侵攻し、俺を助けに来るはずだ”――と",
"グアハハ！　ソウダ！
ヤット命乞イヲスル準備ガデキタカ！",
"確かに、街にはオークが増えている
目撃者の証言によると
“奴らは何かを探しているようだ”――だとさ",
"その《証拠》を突きつけたせいでヤツは今
超がつくほど上機嫌な訳だが――チャンスでもある
今なら、他の《話題》でも口が軽くなっているはずだ",
"伝令兵なのに、前線で動いていたなんて
随分と危険な任務をしていたんだな？",
"グァッハッハッハ！
当然ダ
危険デアレバアルホド、名誉ナ任務ナノダ！",
"前線にいたということは、人間達とも
接する機会が多かったんじゃないか？",
例えば――ナヴィド侯爵とか,
"ナビ――何ダト？
人間ノ名ナド、イチイチ覚エテイナイ！",
"伝達兵なら何度か関わりがあっても
良さそうなものだがな
名前だけではわからないか――",
脅す,Threaten
《証拠》を突きつける,"Present ""Evidence"""
――やめる,...Cancel
おお、確かにこれなら分かりやすいな,
"ホラ、この人間だ
人間達のリーダーだったそうだから
覚えているんじゃないか？",
――！,
コ、コイツハ――,
ん？ どうやらピンと来たみたいだな,
グルルル――ソノ不快ナ顔見セルナ！,
"ひょっとすると――コイツが鍵を握っているかもな
<NPC 681>について知っていること――
全て聞き出してやろうぜ",
"そうだな――まずはメガドで
常識となりつつある、<NPC 681>の
英雄譚について真偽を確かめよう",
脅す,Threaten
《証拠》を突きつける,"Present ""Evidence"""
――やめる,...Cancel
"ナヴィドはメガド占領中
人間達のリーダーを務めていたそうだな",
"人間達をまとめ、オーク達との間を
取り持っていたと聞いているが
それは間違い無いのか？",
"――ウグウゥ
確カニ――奴ハ人間ノ分際デ、出シャバリ
奴隷ドモノ、統括ヲ始メタ――",
"市民たちの話は事実だった、のか？
じゃあ、奴は本当に潔白だった――",
"ケッパク――潔白――？
グフ――グッフッフ――",
"――なんだ
何がおかしい？",
"まだ何か――話していない<NPC 681>の
行動があるのか？",
フン――,
"――オークよ
俺たちはナヴィドがどんな裏切りをしたか知り
罰を与えたいだけだ",
"さぁ、聞かせてくれ――
人間の分際で、ナヴィドは
どんなことをしたか教えてくれ",
"――ガッハッハ！
人間ノ罰ナド、何ノ面白味モ無イガ
受ケルノガ、アノ人間ナラバ――面白ソウダ",
"ヨク聞ケ！
アノ人間ハ、モウヒトツ取引シテイタ",
"<COL ff2600>めがどヲ自ラ
我々、おーく軍ニアケ渡シ
物資ヤ戦利品、受ケ取ッテイタ！</COL>",
――――！,
"――メガドの功労者ナヴィド侯爵の
明るみになっていない事実",
"ナヴィドとオークの癒着――
ついに、決定的な悪事を突き止めたぞ",
さぁ、詳しく聞き出さないとな,
"《証拠》のおかげでオークはやっと
<NPC 681>のことを思い出したようだな
そして――",
"奴は、自らメガドをオークに明け渡したこと――
オーク軍と交渉し、人間の統率を行う代わりに
オーク軍から報酬を受け取っていたことが分かった",
人間ノ分際デ――！,
"まさか、下っ端と思われたオークの口から
核心を聞き出すことができるとはな――
さぁ、さらに話を聞いて行こう",
"メガドがあまりにも早く陥落したのは
ナヴィドの手引きがあったからか――",
"人間ガ――人間ノ分際デ
おーくト取引シヨウナド！",
そんな取引をオーク軍が許したのか？,
グルァァ！！,
"落ち着け、お前がなぜ怒るのか――教えてくれ
その取引に応じたのは――",
俺ナラ！　許サナカッタ！,
"ならば、応じたのは――お前の上官なんだな？
お前の意志ではなかったと",
ガァァァ！！！,
"オーク軍にも酔狂な奴がいるもんだな
あるいは――その時にはまだ
人間と取引をする心の余裕があったのか",
ウガァァァァ！！,
"まずいぞ、オークが興奮してきた――
だが話は繋がってきたな",
"ナヴィドはオークと取引し
降伏してメガドを明け渡した",
"そして占領下の市民たちを指揮し
まるで英雄のように振る舞っているが――
裏ではオークと癒着し私腹を肥やしていた",
"――とはいえ
オークの証言だけでは糾弾する証拠として
あまりにも弱い",
"何か、<NPC 681>が私腹を肥やしていたことの
具体的な《証拠》が無いことにはな――",
脅す,Threaten
《証拠》を突きつける,"Present ""Evidence"""
――やめる,...Cancel
"――これは？
日付や数字のリストのようだが――",
――――！！,
こ、これはまさか――,
オーク軍の出納帳,
侯爵家の出納帳,
レジスタンスの出納帳,
"そうかこれを、オーク軍の物資収支と
照らし合わせることができれば――！
よくやったぞ、覚者！",
"よし――<COL ff2600>ここまでの証言は《証拠》として
メモにまとめておいた
しかるべき時に使ってくれ</COL>",
"さて――かなり核心には迫れたな
だが、このオークから聞けることはまだ残っている
最後まで気を引き締めて行けよ、相棒",
"まさか、オーク軍が<NPC 681>の取引に
応じるとはな――
<NPC 681>とオーク軍はズブズブの関係だった訳だ",
"そしてこの “侯爵家の出納帳”という《証拠》――
これはその不正を暴くカギとなるだろう",
"この帳簿を、オーク側の証拠と照らし合わせられれば
――確実に<NPC 681>の悪事を証明できるぞ",
"さぁ、後はオーク軍側の証拠の在処さえ
聞きだせれば、すべて終わりだ
尋問は残すところあとわずか――頼んだぞ",
ナヴィドとオーク軍の癒着の証拠――,
"運んだ伝令文書などは
まだ残っているのか？",
――――,
――喋リ過ギタ,
何だと？,
コレ以上話サナイ,
――今更恐れをなしたのか？,
"おーくハ恐レヲ知ラナイ！
ダガ、コレ以上喋ッタラ、裏切リダ",
"フン、今更何を――
しかしこの重要な局面でだんまりとは厄介だな",
"癒着の決定的な証拠の在り処を
知っているのは、このオークだけだ――
覚者、何か打開策はないか？",
オークに尋問し続ける,
専門家に相談しよう,
"専門家――そうだ！
俺たちよりも良いアイデアを
持っていそうな奴がメガドにいるじゃないか！",
冴えてるぞ、覚者！,
"――決まりだな
<COL ff2600>また諜報へ出かけたら、奴を――
ガクシャを訪ねてみよう</COL>",
"そ、そうか――分かった
もう一度、一通り尋ね直してみるのも
いいかもしれないな",
コレ以上話スコトハナイ,
――今更恐れをなしたのか？,
"おーくハ恐レヲ知ラナイ！
ダガ、コレ以上喋ッタラ裏切リダ",
"フン、今更何を――
しかしこの重要な局面でだんまりとは厄介だな",
"癒着の決定的な証拠の在り処を
知っているのは、このオークだけだ――",
"覚者、まずはメガドにいた
オークに詳しい男に相談してみよう
きっと核心を突く《証拠》への道が拓けるはずだ",
"このオークを落とす最後の《証拠》――
それさえ手に入れてくれれば
あとは、俺が必ずなんとかする",
脅す,Threaten
《証拠》を突きつける,"Present ""Evidence"""
――やめる,...Cancel
"忠義を尽くそうとしても――
もう手遅れのようだぜ",
ナンダト！？,
"見ろ――メガドをうろついていた
オークが落としたものだ",
！？,
"お前を探す、オーク軍の指名手配書だ
オークが街に集まったのは、仲間を探すためではなく
お尋ね者を探すためだったようだな――？",
"人間との取引後に突然姿を消したんだ
――裏切りと思われても仕方ないな",
"ソ、ソンナ――嘘ダ！
俺ハ裏切ッテナイ――",
"まだ悪あがきするつもりか？
もうお前にオーク軍へ戻る道はない",
"なぜなら――
もう多くのことを喋り過ぎちまったからな",
脅す,Threaten
《証拠》を突きつける,"Present ""Evidence"""
――やめる,...Cancel
"お前は興奮して
よく覚えていないかもしれんが――",
"メガド陥落以降のオーク軍内部情報を
洗いざらい喋っちまってるんだ
――ここに内容の書き起こしも残ってる",
グゥ――グヌヌヌヌ――！！,
もし捕まれば、確実に処刑は免れないだろう,
"だが――俺たちに協力すれば抜け道と
ほとぼりが冷めるまでの隠れ処を
提供してやるぞ",
人間！　キサマァ――！,
"望みはただ一つ――
メガド陥落以降の、ナヴィドとオーク軍の
癒着の証拠文書だ",
"内通の伝達文書――
それと、オーク軍の物資出納帳簿も欲しい",
"残っていなければお前は終わりだが――
メガドにまだ一つでも残っているなら助けてやる
――在り処を教えろ",
"――
――――",
――――グゥゥゥ,
"グオオオオオオオオオオオオオオオ
オオオオオオオオオオオオオオオオ
オオオオオオオオオオオオオオオオ
オオオオオオオオオオオオオオオオ",
"人間ノ分際デ――
ヒネリツブシテヤル！！
叩キツブシテヤル！！！",
――――,
"――――
――ワカッタ",
"めがどノ外ニ、隠シ倉庫ガアル――
人間ドモ荒ラシテナケレバ
備蓄物資ト、書類ソノママ残ッテル",
よし――その場所を教えてもらおう,
――覚者！！,
"書類さえ手に入れれば
ナヴィドに致命傷を与えられる！
――俺たちの任務はそれでほぼ完了だ",
"メガド陥落の重罪人の情報を集め
糾弾するための証拠を集める――",
"そしてしかるべき筋にその証拠を届ける
それが任務だ",
"それにしてもオークのように強欲な奴だな
<NPC 681>と言う男は――
なぁ覚者、お前もそうは思わないか？",
さて、仕上げにかかろう,
"このオークは完全に落ちた――
聞き出せる情報を全て聞き出して
全て終わりにするんだ",
"このオークはもう落ちた――
全て聞き出してしまえばもう用済みだ",
Ａ、メガド陥落の理由,A: Motive for the fall of Megado
Ｂ、ナヴィド侯爵の交渉,B: Connection with Marquis Navido
Ｃ、ナヴィド侯爵の汚職,C: Corruption of Marquis Navido
Ｄ、<NPC 681>侯爵とオークの関係,D: Relationship between Marquis <NPC 681> and Orcs
――今日はやめる,...Stop for today
"メガドが陥落した理由――それは
<NPC 681>が手引きしたためだったのか？",
"グゥゥ違ウ！！
めがどヲ陥落サセタノ、おーく軍ノ実力ダ！",
"アノ人間ガ手引キシタコト――
ホンノ少シ、落トスノ早クナッタダケ",
"“王家は堕ち、継承者も行方不明
  これ以上戦う意味は無い”　ト――
臆病ナ、人間ラシイ考エダナ！",
人間側に反発は無かったのか？,
"人間モ、おーくモ、反発スルモノ、イタ！
戦イ始メル者モイタ！",
モチロン、全員処刑サレタ,
――――――,
"メガドが陥落した後、<NPC 681>とオーク軍が
取引したと言っていたな？
詳しく内容を教えてくれ",
"――めがどヲ奪ッタ後
人間ドモヲ、奴隷ニシテ使ッタ
アノ《ナヴィド》トカイウ人間モ、ソノ１人ダ",
"ソシテ奴ハ、上官ヘ申シ出タ
「自分ノ方ガ、人間上手ク扱エル、任セテホシイ
  必ズ前ヨリ、多クノ成果ヲ出ス」――トナ",
"斬リ捨テヨウトシタガ、上官ハ勇気ヲ気ニ入ッタ
面白ガッテ任セタノダ――",
"ヤツが生きているということは――
成功したんだな？",
――――――,
"ソノ後、アノ人間ハ愚カニモ――
マルデ、おーく軍ノ
一員ニナッタヨウニ、振ル舞イダシタ",
――――――,
"<NPC 681>がオーク軍の戦利品や物資を
一部着服していた――確かか？",
――――,
"人間ノ管理ヲ任サレテカラ――奴ノ振ル舞イハ
おーく軍ノ、一員ニナッタヨウダッタ",
"気安ク、おーくニ声ヲカケ――
会議ニモ、顔ヲ出スヨウニナッタ",
"なんだと――
そんなことが――許されたのか？",
"許サレヌ、人間ゴトキニ！！
シカシ、我ガ上官は――ソレヲ
「面白イ」ト言ッタ！",
"蓄エハ、豊カニナッタガ
<NPC 681>ハ、フザケタ要求ヲシテキタ
――報酬ヲヨコセト",
"――上官ハ――
戦イノ戦利品ヤ、物資ノ一部ヲ
アノ人間ニ流スコト、許可シタノダ！",
――――,
得た報酬を――<NPC 681>はどうしたんだ？,
"知ラン！
ソノ後、覚者ガ攻メコミ――
我々ハ撤退シタ",
――――驚いたな,
"あの古ダヌキは――
メガドを売り渡したどころじゃない
オークと一緒になってメガドを蹂躙していたんだ――",
"メガドが奪還された後――
<NPC 681>とオーク軍はどうなったんだ？",
"我々ハ――めがどヲ撤退シタガ
アノ人間ハ、被害者面シテ、めがどニ残ッタ",
"ダガ――コノ間、奴カラ使者ガ来タ
“うるさく嗅ぎ回られるかもしれない
  兵を貸してほしい”――ト！",
"斬リ捨テヨウトシタガ、相手ガ覚者ナラバ――
我々ハ可能ナ範囲デ、兵ヲ派遣シタ",
"ヤツは、自身の屋敷に誘い込む作戦に失敗した後
独自の兵でなんとか始末しようとしたようだが――フン",
"人間ダケノチカラデハ、スグ限界ダ
マタ援軍要請ガ来テ
おーく軍ハ応エルタメ、俺ヲ派遣シタ――",
――――そして、今に至るわけか,
"なるほど――
メガド奪還後も、関係が続いていたわけだな",
"つまり、<STG 473>で覚者が襲われたのも
憲兵たちがやけに絡んできたことも
街中をオークが我が物顔でうろつきだしたことも――",
"――全て、覚者たちに
自分の罪を暴かれることを恐れた
<NPC 681>が仕組んだ死の罠だったってことか",
"――このオークから聞けるのは
こんなところか",
ウグググ―――,
"――あぁ、オークの処遇なら心配するな
約束を破るようなことはしない",
"これで、十分な確証を手に入れた
明日証拠を受け渡し、俺たちは侯爵邸に
忍び込み<NPC 681>を捕える――",
"だがひとまずは、これで尋問完了だ
ここまで、本当によくやってくれたな
オークを尋問するとなった時は
どうなることかと思ったが――",
"本当に頼もしい奴だ――
ここまで付き合ってくれて、感謝する
最後までもう少し、頼むぞ！",
"おい！！
こいつの顔を、知らないはずないだろう
オーク軍を殲滅した覚者本人だ！",
"つまり、死んだ方がマシだって目に
遭わせることもできるんだ
幸い――お前は人間ではなく、憎きオークだからな",
――――人間ノ脅シハ、ソノ程度カ？,
"グァッハッハ！　おーくノ拷問ニ比ベレバ
ソンナ脅シ、屁デモナイ！",
"ならば、試してみるか？
人間式の拷問を！",
"フン――
おーくハ、人間ノ何倍モ痛ミニ強イ
ヤッテミロ",
"――チッ、オークに高圧的な脅しは効かないか
やはり、まずは現場を調査し《証拠》を
突きつけなければ始まらないようだな――",
"他のオークを捕えて
拷問で無理やり読ませてもいいんだぞ――",
"フン――ソコラ辺ノおーくヲ
捕マエタトコロデ、読メハシナイ",
なんだと？,
"暗号ダ！
雑兵ニ読ムコトデキナイ！
――モチロン人間ニモダ！",
"なるほど、オーク軍の暗号文書か――
ならばコイツ以外の
“特殊知識を持った人物” を探す必要があるな",
"人探しとなれば――
メガドの、あの女の出番だな？",
"オーク軍は力を溜めて
お前を助けに戻ってくるだと？
なぜそう言い切れる？",
"おーくハ昔カラ
“ヤラレタラヤリカエス”――
ソウシテ生キ抜キ、軍ヲ拡ゲテキタ",
"オ前ラ人間ノヨウニ、根拠モ無ク
愚カナ望ミヲ抱クコト、全ク違ウ！
おーくニハ、伝統ト誇リガアルノダ",
"ほう――相当な確信があるようだ
単なる盲信という訳ではないのかもしれないな",
"メガドでも何らかの変化が起きているかもしれない
覚者、目撃者がいないか一度調査してみよう",
"おい――とぼけるなよ
伝令兵だったんだろうが！",
"フン、上官ノ気マグレデ
生カサレタ人間ノ顔ナド
イチイチ覚エテル訳ガナイ！",
"人間――オ前タチハ、食ウタメニ飼ウ豚ノ
名前イチイチ覚エルノカ？",
"タトエ、毎日会ッタ人間ダトシテモ
顔ハトモカク
名前マデ覚エル気ニハナランナ",
"顔か――あれだけ特徴的な顔を何度も見れば
覚えていない訳がない
覚者、ヤツの顔に関するものを突きつけてみろ！",
"おい、話すんだ――
メガド占領中の、<NPC 681>について全て！",
"グァァ！
アノ人間ハ――気ニ食ワナイ",
"おい、どういうことだ？
<NPC 681>が市民に慕われるような――
本当にそんな行動をしていたのか？",
"ガウウウ――知ルカ！
人間ドモガ、アイツノ行動ヲ
ドウ思ウカナド、おーくニハ関係ナイ！",
"チッ――この様子だと
１から聞き出すのは時間がかかりそうだぜ
まずは軽く証拠をとりたいところだが――",
"このオークよりも近くで当時、
<NPC 681>と共に行動していた人物――
誰でもいい、とにかく探して話を聞くぞ！",
"もちろん証拠はあるんだろうな！
まさか、その話だけを鵜呑みにしろというのか！？",
ガルルルル！！,
"あぁ、くそ！
大事なところだってのに――",
"ダメだ、話ができる状態じゃない――
だが今の話を元に、存在するかも分からない
《証拠》を俺たちで探さないといけないのか！",
"オーク側のモノでも、侯爵側のモノでもいい
文書、手紙、帳簿、なんでもいい！
何か心当たりはないか！？",
――――いや,
"このオークは、完全に恐怖している
もう脅す必要はない――",
"覚えているか？
ガクシャが言っていたことを――
“真に恐怖したとき、与える一撃は致命傷になる”",
"ヤツが最も恐れているのは、裏切りの事実――
それを認めたくないんだ",
"おそらくこれが最後になるだろう
さぁ、裏切りを証明する《証拠》――
それを突きつけてやれ！",
"いい加減にしろ！
今さらしらばっくれようとしても無駄だぞ！",
