Japanese,English
盗賊の隠れ家,Bandit Hideaway
バランジャ,Baranja
バーバラ,Barbara
バークレイ,Barclay
軍事演習棟,Barracks
兵舎,Barracks
バリス,Barris
バリー,Barry
バート,Bart
バートン,Barton
ベイジル,Basil
バジット,Basit
グリッテン砦前　戦野,Battlefield outside Gritten Fort
バイヤール,Bayard
浜辺の地下保管庫,Beach Underground Stores
獣の将,Beast Master
軍獣強化場,Beast Training Ground
獣将の園生,Beastmaster's Garden
ベアトリクス,Beatrix
美容院前,Beauty Salon
エラン大門前,Before Elan Front Gate
グリッテン砦 正門前,Before Gritten Fort Main Gate
アーク前,Before the Ark
謁見の間 手前,Before the Audience Chamber
秘泉の間,Before the Secret Spring
王家の墓前,Before the Tomb of the Royal Family
ベルス,Berce
ベレナス,Berenas
ベルク,Berg
ベルタ,Bertha
ベルタ盗賊団,Bertha's Bandit Group
ベルタ盗賊団のアジト,Bertha's Bandit Group Hideout
ベルトラン,Bertrand
ベステ,Beste
バートランド大橋,Betland Bridge
バートランド墓地,Betland Cemetery
バートランド東関所,Betland East Side
バートランド山道,Betland Mountain Road
バートランド平原,Betland Plains
バートランド地下道,Betland Underground Passage
聖雫の間,Between Sacred Drops
妖艶な錬金術師,Bewitching Alchemist
ベイザ,Beza
大樹の広場,Big Tree Dell
ビルジ,Bilge
鳥寄せ岩,Birdcall Rock
黒呪の迷宮,Bitterblack Maze
黒呪の迷宮：入り江,Bitterblack Maze Cove
黒呪の迷宮：黒呪の祭壇,Bitterblack Maze: Altar of the Black Curse
黒呪の迷宮：羨月楼,Bitterblack Maze: Duskmoon Tower
黒呪の迷宮：異邦の落都,Bitterblack Maze: Fallen City
黒呪の迷宮：凱旋者なき庭園,Bitterblack Maze: Garden of Ignominy
黒呪の迷宮：冥府１,Bitterblack Maze: Netherworld 1
黒呪の迷宮：冥府２,Bitterblack Maze: Netherworld 2
黒呪の迷宮：冥府３,Bitterblack Maze: Netherworld 3
黒呪の迷宮：冥府４,Bitterblack Maze: Netherworld 4
黒呪の迷宮：瘴気の満ちる聖堂,Bitterblack Maze: Noxious Cathedral
黒呪の迷宮：異界,Bitterblack Maze: Rift
黒呪の迷宮：畏れの天蓋,Bitterblack Maze: Rotunda of Dread
黒呪の迷宮 深淵,Bitterblack Maze: The Abyss
黒呪の迷宮：裏切り者の処刑塔,Bitterblack Maze: Traitors' Tower
黒淵谷,Black Abyss Valley
黒竜,Black Dragon
テル組合宿　黒ブドウ亭,Black Grape Inn
黒示す王の間,Black King's Room
黒騎士,Black Knight
刃擦れの細道,Blade Scarred Path
ブレア,Blair
開かずの路,Blocked Passage
魔赤島,Bloodbane Isle
魔赤島・絶崖,Bloodbane Isle Precipice
魔赤島・山頂,Bloodbane Isle Summit
血すすぎ河原,Bloodwater Bank
滝裏の青洞,Blue Cave in the Waterfall
青爪浜,Blue Claw Beach
青静の遺跡,Blue Stillness Ruins
蒼水路,Blue Waterway
ボーデシア,Boadicea
ボブ,Bob
ボーナスダンジョン【BO】,Bonus Dungeon (BO)
ボーナスダンジョン【ゴールド】,Bonus Dungeon (G)
ボーナスダンジョン【HO】,Bonus Dungeon (HO)
ボーナスダンジョン【JP】,Bonus Dungeon (JP)
ボーナスダンジョン【リム】,Bonus Dungeon (R)
ボーナスダンジョン【SP】,Bonus Dungeon (SP)
ボーナスダンジョン【XP】,Bonus Dungeon (XP)
ボーナスダンジョンロビー,Bonus Dungeon Lobby
ボリス,Boris
大石塊(アーク),Boulder (The Ark)
賞金稼ぎ,Bounty Hunter
木陰の古井戸,Bower Old Well
石像立つ木陰,Bowered Stone Statues
少年,Boy
ブラッド,Brad
ブレーデン,Braden
静慮の枝,Branch of Contemplation
懐旧の枝,Branch of Nostalgia
追憶の枝,Branch of Remembrance
悔恨の枝,Branch of Remorse
ブランドン,Brandon
ブランドン武具店,Brandon's Armor Shop
ブレット,Brett
ブリア海岸,Breya Coast
ブリジット,Bridgette
ブルース,Bruce
ブルーノ,Bruno
ブッグ,Buggu
ブルジュ,Burj
羽音の高台,Buzzing Plateau
バイラム,Byram
目撃者予備枠30,Bystander
カデル,Cadell
カイン,Cain
キャメロン,Cameron
カミュ,Camus
キャナ,Cana
キャプテンオーク,Captain Orc
虜囚尋問牢,Captive Interrogation Prison
カラドック,Caradoc
カール,Carl
カルロッタ,Carlotta
キャリー,Carrie
腐肉のほとり,Carrion Bank
ケイシー,Casey
ケイシーの雑貨店,Casey's General Store
カタコンベ,Catacombs
冥府下りの洞穴,Cave of Hell's Descent
冥府下りの洞穴 奥底,Cave of Hell's Descent Depths
冥府下りの洞穴 深層部,Cave of Hell's Descent Inner Depths
憩いの坑洞,Cave of Rest
憩いの坑洞 最深部,Cave of Rest Innermost Depths
憩いの坑洞 中層,Cave of Rest: Middle Level
痛刻の洞,Cave of Suffering
セシリー,Cecily
セドリック,Cedric
根の独房,Cell
ファーラナ中央洲,Central Farana Sandbank
中央大水廊,Central Flood Corridor
中央広場,Central Square
汚水溜め,Cesspool
不浄の掃き溜め,Cesspool of Filth
聖滝の間,Chamber of the Holy Waterfall
チャールズ,Charles
チャールストン,Charleston
チャウラ,Chawla
チェスター,Chester
チーフマンドラゴラ,Chief Mandragora
子供,Child
クロエ,Chloe
クリスティーヌ,Christine
クリストフ,Christoph
チャンク,Chunk
キアラン,Ciarán
クラン管理人枠,Clan Administrator
クラン拠点,Clan Hall
クラン拠点用ポーン枠10,Clan Member's Pawn_
クラン拠点用ポーン枠2,Clan Pawn
クラリッサ,Clarissa
断崖の坑道,Cliff Tunnels
コレット,Colette
生活用水汲み場,Common Waterhole
コナーン,Conan
建設資材集積場,Construction Material Depot
工事作業員1-A,Construction Worker
ポーン会話用クール,Cool Pawn
コランタン,Corentin
コーネリア,Cornelia
滝を臨む蝕地,Corrupted Ground Facing the Waterfall
コリー,Cory
クラフトルーム,Craft Room
クラフトサポート1,Crafter NPC
クレイグ,Craig
クロムウェル,Cromwell
崩れた進入路,Crumbling Entrance Path
崩れた進入路 最深部,Crumbling Entrance Path Innermost Depths
岩砕きの河岸,Crushing Rock Riverbank
せせらぎの地下聖堂,Crypt of Murmurs
カーティス,Curtis
セロ,Cyril
サイラス,Cyrus
ダクレイム砦,Dacreim Fortress
ダリア,Dalia
ダーマード,Damad
ダン,Dan
ダナ,Dana
ダーナ,Dana
ダナ・セントラム,Dana Centrum
ダナ族長の家,Dana Chief's Home
ダナンデール洞窟,Danandell Cave
ダナンデール洞窟　深部,Danandell Cave Depths
ダナンデール洞窟　最深部,Danandell Cave Innermost Depths
ダナンデール洞窟　通路,Danandell Cave: Passage
円形舞踊場,Dancing Circle
虹舞い洞窟,Dancing Rainbow Cave
虹舞い洞窟　深部,Dancing Rainbow Cave Depths
虹舞い洞窟　危険区域,Dancing Rainbow Cave: Dangerous Area
ダレン,Daren
ダリン,Darin
鎧幽の巨岩,Dark Armor Crag
闇大陸：アッカーシエラン,Dark Continent: Acre Selund
闇大陸：レスタニア,Dark Continent: Lestania
闇大陸：メルゴダ,Dark Continent: Mergoda
闇大陸：フィンダム,Dark Continent: Phindym
深緑のテラス,Dark Green Terrace
秘泉への暗道,Dark Path to the Secret Spring
秘泉への暗道 深層部,Dark Path to the Secret Spring Inner Depths
冥き大地下墓地,Dark Tree Great Catacombs
暗樹の大淵,Dark Woods Great Depths
闇に覆われた錬金研究棟,Darkness Shrouded Alchemy Research Building
闇に覆われた錬金研究棟 １階,Darkness Shrouded Alchemy Research Building 1st Floor
闇に覆われた錬金研究棟 ２階,Darkness Shrouded Alchemy Research Building 2nd Floor
闇に覆われたドリード城,Darkness Shrouded Dreed Castle
闇に覆われたドリード城 中央階段,Darkness Shrouded Dreed Castle Central Staircase
闇に覆われたドリード城 地下水路,Darkness Shrouded Dreed Castle Underground Waterway
闇に覆われたメガド回廊,Darkness Shrouded Megado Corridor
闇に覆われたメガド回廊 １階,Darkness Shrouded Megado Corridor 1st Floor
闇に覆われたメガド回廊 ３階,Darkness Shrouded Megado Corridor 3rd Floor
闇に覆われたメガド王宮層,Darkness Shrouded Mergoda Royal Palace Level
闇に覆われたメルゴダ護政区,Darkness Shrouded Mergoda Security District
闇に覆われた軍事演習棟,Darkness Shrouded Military Training Facility
闇に覆われた軍事演習棟 １階,Darkness Shrouded Military Training Facility 1st Floor
闇に覆われた軍事演習棟 ２階,Darkness Shrouded Military Training Facility 2nd Floor
闇に覆われたシェドレアン大神殿,Darkness Shrouded Shadolean Great Temple
死王の迷宮,Dead Lord's Labyrinth
ディーン,Dean
朽ちかけた井戸,Decaying Well
ディナン山道,Deenan Mountain Road
ディナン深層林,Deenan Woods
霧たなびく深森,Deep Misty Woods
水陰の淵辺,Deep Water's Edge
ディプニエ大侵林,Deepney Great Forest
デリーン,Deleen
デミル,Demir
魔軍緊急野営地,Demon Army Camp
魔軍進行中継場,Demon Army Relay Station
魔軍出撃待機所,Demon Army Standby Spot
魔軍戦車駐留地,Demon Army War Machine Garrison
魔犬養育所,Demon Dog Kennel
魔狼の縄張り,Demon Wolf Territory
魔獣の巣穴,Demon's Den
デニス,Dennis
リムの淵辺,Depths of the Rift
デレード,Deredo
デレク,Derek
廃村エスリグ,Deserted Village of Aethrig
廃村デニスィル,Deserted Village of Denisyr
廃村クラーハ,Deserted Village of Kraag
廃村ナバド,Deserted Village of Nabhadh
廃村ルフロー,Deserted Village of Ruflow
殲滅指定区域　最奥下層,Designated Extermination Area: Innermost Lower
殲滅指定区域　最奥上層左,Designated Extermination Area: Innermost Upper Left
殲滅指定区域　最奥上層右,Designated Extermination Area: Innermost Upper Right
殲滅指定区域　左方,Designated Extermination Area: Left Side
殲滅指定区域　右方,Designated Extermination Area: Right Side
落露の大穴,Dewdrop Crater
デューイ,Dewey
ディアドラ,Diadora
ディアマンテス,Diamantes
ダイオン,Dian
ディッカ,Dikka
ディンガス,Dingus
ダイアン,Dion
ディリス,Dirith
変装したガルドリン,Disguised Gurdolin
神花のテラス,Divine Blossom Terrace
ドハティ,Doherty
ドルキ,Dolkey
ドネル,Donnell
異界の扉,Door to the Other World
ドリス,Doris
ドロテア,Dorothea
ドロシー,Dorothy
ダウ渓谷,Dowe Valley
竜スキル合体,Dragon Skill Coalescence
竜の巣,Dragon's Nest
ドラワン,Drawan
ドラワン教会,Drawan Church
ドリード城,Dreed Castle
ドリード連絡路,Dreed Connecting Passage
ドリード排水路,Dreed Drainage Channels
ドリード監視塔,Dreed Watchtower
ドリード水路跡,Dreed Waterway Ruins
ドルー,Drew
小塔傍の枯れ井戸,Dried Well by the Tower
酔っぱらった男,Drunk Man
酔っぱらった女,Drunk Woman
酔っ払い,Drunkard
乾いた地下倉庫,Dry Underground Stores
枯れ井戸の中（カスタム）00,Dry well interior (custom) 00
デュボワ,Dubois
ダドリー,Dudley
デューク,Duke
ダナウィンの挑堂,Dunhain's Hall of Trials
ドワーフオーク,Dwarf Orc
暗黒の統べる地　東端,East Land of Darkness
ミスリウ森林 東側,East Mysree Forest
東ザンドラ廃墟群,East Zandora Ruins
ウルテカ山岳 東部,Eastern Urteca Mountains
ザンドラ東部,Eastern Zandora
エコール,Ecole
エディ,Eddie
エディーズ,Eddys
イーデン,Eden
エイリーン,Eileen
エジェ,Eje
エクレム,Ekrem
エラン採石洞,Elan Quarry Cave
エラン採石洞　最深部,Elan Quarry Cave Innermost Depths
エラン採石洞　中央部,Elan Quarry Cave: Center
エラン水林,Elan Water Grove
エラン水林 深層,Elan Water Grove Depths
エラン水林 船着き場,Elan Water Grove Wharf
エレメントアーチャー,Element Archer
エルフ遺跡（カスタム）00,Elf ruins (custom) 00
エリ警備塔,Eli Guard Tower
エリクシル精製室,Elixir Refining Chamber
エリン,Ellen
エリオット,Elliot
エルマー,Elmer
エルネア・スプリング,Elnea Spring
エルセン,Elsen
エルトン,Elton
エルナ,Eluna
エルネド,Eluned
エメラダ,Emerada
エミール,Emil
エミリア,Emilia
エミーネ,Emine
エンポリオ,Emporio
虚ろの小堂,Empty Chapel
エンド誘導予備1,End Content NPC
エンド誘導予備2,End Content NPC
エンド誘導予備3,End Content NPC
エンデール,Endale
エンディング用部屋,Ending Office
エンフ,Enf
エンナ,Enna
エニス,Ennis
エルデム,Erdem
エルテ・ディナン,Erte Deenan
エルドアン,Erudoan
エセン,Esen
エテルナ,Eterna
エテルナ装具屋,Eterna's Outfitter
イーサン,Ethan
エセル,Ethel
エトナ,Etna
ユージーン,Eugene
エウニケ,Eunike
エバ,Eva
イベントダンジョン,Event Dungeon
イベントビューアー部屋,Event Viewer Room
イーヴィ,Evey
悪しき竜のねぐら,Evil Dragon's Roost
エヴレン,Evren
疲弊した盗賊男,Exhausted Male Bandit
調査隊駐屯地,Expedition Garrison
ファビオ,Fabio
妖精の枯れ井戸,Fairy's Withered Well
ファルク,Falk
いつわりの遺構,False Remains
いつわりの遺構 深層部,False Remains Inner Depths
いつわりの遺構 武器庫,False Remains: Armory
いつわりの遺構 通路,False Remains: Passage
狂信者の潜伏地,Fanatic's Hiding Ground
ファーラナ平原,Farana Plains
ファーラナ平原 中央,Farana Plains Center
ファーラナ平原 船着き場,Farana Plains Wharf
ファーラナ遺跡,Farana Ruins
ファーラナ遺跡　深部,Farana Ruins Depths
ファーラナ遺跡　危険区域,Farana Ruins: Dangerous Area
農夫,Farmer
最果ての岸,Farthest Bank
フェデルコ,Federico
フェリクス,Felix
女性神官,Female Priest
女性戦士,Female Soldier
女戦士,Female Soldier
ファーガル,Fergal
ファーガソン,Ferguson
フェルヤナ関所前,Feryana Border Checkpoint
フェルヤナ荒原,Feryana Wilderness
フェルヤナ荒原 城下,Feryana Wilderness by Castle
悪鬼の岩窟,Fiend's Cavern
ファイター,Fighter
最終防衛区画,Final Defense Area
フィンバー,Finbar
フィン,Fionn
火垂れ山野営地,Firefall Mountain Campsite
火垂れ山拝竜院,Firefall Mountain Dragon Temple
火垂れ山拝竜院 最深部,Firefall Mountain Dragon Temple Innermost Depths
火垂れ山拝竜院 中層,Firefall Mountain Dragon Temple: Middle Level
火垂れ山の穿ち石,Firefall Mountain Eroded Rock
第一防衛区画,First Defense Area
第一の門,First Gate
第一捕虜収容所,First Prison Camp
フラナン,Flannan
フラベル,Flavell
フラベルの店,Flavell's Shop
フロックヴァルト大橋,Flocwald Bridge
お花ちゃん,Flower-chan
異邦の岬,Foreign Cape
森小人の集落,Forest Goblins' Village
森民の地下道,Forest People's Tunnel
森の廃墟地下,Forest Ruins Cellar
森精の隠れ家,Forest Sprite's Refuge
霧の森,Forest of Mist
霧の森 征圧エリア １,Forest of Mist Conquest Area 1
霧の森 征圧エリア ２,Forest of Mist Conquest Area 2
霧の森 征圧エリア ３,Forest of Mist Conquest Area 3
霧の森 征圧エリア ４,Forest of Mist Conquest Area 4
霧の森 征圧エリア ５,Forest of Mist Conquest Area 5
霧の森 征圧エリア ６,Forest of Mist Conquest Area 6
霧の森 征圧エリア ７,Forest of Mist Conquest Area 7
忘却の廃村,Forgotten Abandoned Village
旧闘技場跡地,Former Arena
休憩所跡地,Former Rest Station
見捨てられた井戸,Forsaken Well
見捨てられた井戸　危険区域,Forsaken Well: Dangerous Area
ティネス砦,Fort Thines
ティネス砦　大食堂,Fort Thines: Great Dining Hall
城の古井戸,Fort's Old Well
城塞都市メガド,Fortress City Megado
城塞都市メガド 美容院前,Fortress City Megado: Beauty Salon
城塞都市メガド 旧英霊廟前,Fortress City Megado: Before Old Heroic Spirit Shrine
城塞都市メガド 水車部屋前,Fortress City Megado: Before Water Wheel Room
城塞都市メガド 城門,Fortress City Megado: City Gate
城塞都市メガド クラフトルーム,Fortress City Megado: Craft Room
城塞都市メガド 大通り,Fortress City Megado: Main Street
城塞都市メガド 広場,Fortress City Megado: Plaza
城塞都市メガド 裏広場,Fortress City Megado: Rear Square
城塞都市メガド 居住層,Fortress City Megado: Residential Level
城塞都市メガド　居住層,Fortress City Megado: Residential Level
城塞都市メガド 王宮層,Fortress City Megado: Royal Palace Level
城塞都市メガド 王宮層 玉座,Fortress City Megado: Royal Palace Level Throne
城塞都市メガド 酒場,Fortress City Megado: Tavern
砦前・千本棘の陣,Fortress Front: Barbed Line
不浄の地下水道,Foul Water Channel
フラン,Fran
フランチェスカ,Francesca
フレッド,Fred
フレディー,Freddy
フロイト,Freud
フレイア,Freya
氷気の遺路,Frigid Ancient Passage
氷気の遺路　深部,Frigid Ancient Passage Depths
氷気の遺路　　危険区域,Frigid Ancient Passage: Dangerous Area
大門前,Front Gate
菌糸の襲窟,Fungal Colony Caves
菌糸の襲窟　脇道,Fungal Colony Caves: Byway
菌糸の襲窟　深層,Fungal Colony Caves: Deepest Level
菌糸の襲窟　鍾乳通路,Fungal Colony Caves: Limestone Passage
菌糸の襲窟　中層,Fungal Colony Caves: Middle Level
ガリプ,Gallip
呪詛の庭,Garden of Curses
ガルドノック砦,Gardnox Fortress
ガルドノック哨戒地,Gardnox Patrol Area
ガルドノック廃水廊,Gardnox Wastewater Tunnel
ガルドノック廃水廊　深部,Gardnox Wastewater Tunnel Depths
ガルドノック廃水廊　危険区域,Gardnox Wastewater Tunnel: Dangerous Area
饒舌なスケルトン,Garrulous Skeleton
ガス,Gas
ガッシュ,Gash
大門前野営地,Gate Camp
聖域の門,Gate of Sacred Grounds
波打ちの門洞,Gate of the Waving Cave
ガヴァン,Gavan
ガラダ,Gearóid
ガラダの護衛戦士,Gearóid's Escort Guard
ジェネラルオーク,General Orc
ジェラール,Gerald
ゲルト,Gerd
ジェレン,Geren
イェルハルド,Gerhard
ガーシュウィン,Gershwin
オオネズミ,Giant Rat
ギブソン,Gibson
ギリアム,Gilliam
ジリアン,Gillian
ギルロイ,Gilroy
ギルスタン,Gilstan
ジネット,Ginette
少女,Girl
ジゼル,Giselle
グリニス,Glenis
グレナー,Glenner
グロリア,Gloria
燐光虫の洞窟,Glowworm Cave
グリンデュア,Glyndwr
グリンデュア・セントラム,Glyndwr Centrum
ゴビネット,Gobinet
ゴブリン,Goblin
小鬼の野営地,Goblin Camp
小鬼の物見台,Goblin Lookout
ゴーゴ,Gogo
ゾマ組合宿　金の杯亭,Golden Tankard Inn
ゴルゴラン,Golgorran
ゴルタス,Goltas
ゴーン,Gon
ゴートン,Gordon
ゴート,Gort
グランエント,Grand Ent
グレイ,Gray
大神殿前広場,Great Temple Plaza
大翼の谷,Great Wings Valley
緑夜の庵,Green Nights Retreat
蒼葉のテラス,Greenleaf Terrace
グレゴリー,Gregory
グリンメル遺跡,Grinmel Ruins
グリンメル遺跡　中深部,Grinmel Ruins Center Depths
グリンメル遺跡　中央通路,Grinmel Ruins Center Passage
グリンメル遺跡　最深部,Grinmel Ruins Innermost Depths
グリンメル遺跡　危険区域,Grinmel Ruins: Dangerous Area
グリッテン砦,Gritten Fort
グリッテン砦　通行許可,Gritten Fort Travel Office
グローン・ノス,Groan Nos
呻きの枯れ井戸,Groaning Old Well
禁域守の神官,Guardian Priest of the Wasteland
ギュンター,Gunther
ガルドリン,Gurdolin
３周年を祝うガルドリン,Gurdolin celebrating 3rd Anniversary
水声の瞑堂,Gurgling Meditation Temple
ガイ,Guy
グェネイラ,Gwenhwyfar
ハディン地下古道,Hadin Underground Old Road
ハディン地下古道　深部,Hadin Underground Old Road Depths
ハディン地下古道　中央部,Hadin Underground Old Road: Center
ハディン地下古道　危険区域,Hadin Underground Old Road: Dangerous Area
魔角の間,Hall of the Magic Horns
ハムザ,Hamza
ハンコック,Hancock
ハンナ,Hannah
ハロルド,Harold
ハリエット,Harriet
ハーヴェイ,Harvey
ホーソーン,Hawthorne
ハヤル,Hayal
ヘイデン,Hayden
ヘザー,Heather
飛天のテラス,Heavenly Terrace
飛天のテラス　危険区域,Heavenly Terrace: Dangerous Area
飛天のテラス　深層,Heavenly Terrace: Deepest Level
ヘフィーナ,Hefina
ハインツ,Heinz
エナン,Henin
ヘンリー,Henry
臥竜のうろ,Hermit's Hollow
隠者の家,Hermit's House
英霊眠りし道,Heroic Spirit Sleeping Path
英霊眠りし道 洞窟 深層 脇道,Heroic Spirit Sleeping Path Cave Deepest Level: Byway
英霊眠りし道 洞窟 深層 第一の間,Heroic Spirit Sleeping Path Cave Deepest Level: First Space
英霊眠りし道 洞窟 深層 第四の間,Heroic Spirit Sleeping Path Cave Deepest Level: Fourth Space
英霊眠りし道 洞窟 深層 第二の間,Heroic Spirit Sleeping Path Cave Deepest Level: Second Space
英霊眠りし道 洞窟 深層 石像の間,Heroic Spirit Sleeping Path Cave Deepest Level: Stone Statue Space
英霊眠りし道 洞窟 深層 第三の間,Heroic Spirit Sleeping Path Cave Deepest Level: Third Space
英霊眠りし道 洞窟 深層,Heroic Spirit Sleeping Path Cave: Deepest Level
英霊眠りし道 洞窟 第一の間,Heroic Spirit Sleeping Path Cave: First Space
英霊眠りし道 洞窟 第四の間,Heroic Spirit Sleeping Path Cave: Fourth Space
英霊眠りし道 洞窟 通路,Heroic Spirit Sleeping Path Cave: Passage
英霊眠りし道 洞窟 第二の間,Heroic Spirit Sleeping Path Cave: Second Space
英霊眠りし道 洞窟 石像の間,Heroic Spirit Sleeping Path Cave: Stone Statue Space
英霊眠りし道 洞窟 第三の間,Heroic Spirit Sleeping Path Cave: Third Space
英霊眠りし道 遺跡,Heroic Spirit Sleeping Path Ruins
英霊眠りし道 遺跡 深層 第一の間,Heroic Spirit Sleeping Path Ruins Deepest Level: First Space
英霊眠りし道 遺跡 深層 第四の間,Heroic Spirit Sleeping Path Ruins Deepest Level: Fourth Space
英霊眠りし道 遺跡 深層 大広間,Heroic Spirit Sleeping Path Ruins Deepest Level: Great Hall
英霊眠りし道 遺跡 深層 広間,Heroic Spirit Sleeping Path Ruins Deepest Level: Hall
英霊眠りし道 遺跡 深層 隠し通路,Heroic Spirit Sleeping Path Ruins Deepest Level: Hidden Passage
英霊眠りし道 遺跡 深層 通路,Heroic Spirit Sleeping Path Ruins Deepest Level: Passage
英霊眠りし道 遺跡 深層 第二の間,Heroic Spirit Sleeping Path Ruins Deepest Level: Second Space
英霊眠りし道 遺跡 深層 石像の間,Heroic Spirit Sleeping Path Ruins Deepest Level: Stone Statue Space
英霊眠りし道 遺跡 深層 第三の間,Heroic Spirit Sleeping Path Ruins Deepest Level: Third Space
英霊眠りし道 遺跡 深層 武神の間,Heroic Spirit Sleeping Path Ruins Deepest Level: War God Space
英霊眠りし道 遺跡 深層,Heroic Spirit Sleeping Path Ruins: Deepest Level
英霊眠りし道 遺跡 第一の間,Heroic Spirit Sleeping Path Ruins: First Space
英霊眠りし道 遺跡 第四の間,Heroic Spirit Sleeping Path Ruins: Fourth Space
英霊眠りし道 遺跡 通路,Heroic Spirit Sleeping Path Ruins: Passage
英霊眠りし道 遺跡 第二の間,Heroic Spirit Sleeping Path Ruins: Second Space
英霊眠りし道 遺跡 螺旋回廊,Heroic Spirit Sleeping Path Ruins: Spiral Corridor
英霊眠りし道 遺跡 石像の間,Heroic Spirit Sleeping Path Ruins: Stone Statue Space
英霊眠りし道 遺跡 第三の間,Heroic Spirit Sleeping Path Ruins: Third Space
英霊眠りし道 祠 深層,Heroic Spirit Sleeping Path Shrine: Deepest Level
英霊眠りし道 祠 第一の間,Heroic Spirit Sleeping Path Shrine: First Space
英霊眠りし道 祠 第四の間,Heroic Spirit Sleeping Path Shrine: Fourth Space
英霊眠りし道 祠 通路,Heroic Spirit Sleeping Path Shrine: Passage
英霊眠りし道 祠 第二の間,Heroic Spirit Sleeping Path Shrine: Second Space
英霊眠りし道 祠 石像の間,Heroic Spirit Sleeping Path Shrine: Stone Statue Space
英霊眠りし道 祠 第三の間,Heroic Spirit Sleeping Path Shrine: Third Space
英霊眠りし道 墓所,Heroic Spirit Sleeping Path Tomb
英霊眠りし道 墓所 第一の間,Heroic Spirit Sleeping Path Tomb: First Space
英霊眠りし道 墓所 第四の間,Heroic Spirit Sleeping Path Tomb: Fourth Space
英霊眠りし道 墓所 広間,Heroic Spirit Sleeping Path Tomb: Hall
英霊眠りし道 墓所 通路,Heroic Spirit Sleeping Path Tomb: Passage
英霊眠りし道 墓所 第二の間,Heroic Spirit Sleeping Path Tomb: Second Space
英霊眠りし道 墓所 石像の間,Heroic Spirit Sleeping Path Tomb: Stone Statue Space
英霊眠りし道 墓所 第三の間,Heroic Spirit Sleeping Path Tomb: Third Space
英霊眠りし道 水路,Heroic Spirit Sleeping Path Waterway
英霊眠りし道 水路 脇道,Heroic Spirit Sleeping Path Waterway: Byway
英霊眠りし道 水路 第一の間,Heroic Spirit Sleeping Path Waterway: First Space
英霊眠りし道 水路 第四の間,Heroic Spirit Sleeping Path Waterway: Fourth Space
英霊眠りし道 水路 第二の間,Heroic Spirit Sleeping Path Waterway: Second Space
英霊眠りし道 水路 石像の間,Heroic Spirit Sleeping Path Waterway: Stone Statue Space
英霊眠りし道 水路 第三の間,Heroic Spirit Sleeping Path Waterway: Third Space
英霊眠りし道 水路 武神の間,Heroic Spirit Sleeping Path Waterway: War God Space
英霊眠りし道 井戸,Heroic Spirit Sleeping Path Well
英霊眠りし道 井戸 深部,Heroic Spirit Sleeping Path Well Depths
