#Index,Key,MsgJp,MsgEn,GmdPath,ArcPath,ArcName,ReadIndex,,
0,q40000124_00_124,森に潜む危機,In the Forest,ui\00_message\quest_info\q40000124_00.gmd,\quest\q40000124.arc,q40000124.arc,0
1,q40000130_00_130,"エリアマスターのパトリシアよ
リンウッドの近くにこの間、<LQEM>が何体か姿を現したの
この頃数が増えてきたのかもしれないわ。危険なことになる前に、<LQVA>体の討伐を頼めないかしら","エリアマスターのパトリシアよ
リンウッドの近くにこの間、<LQEM>が何体か姿を現したの
この頃数が増えてきたのかもしれないわ。危険なことになる前に、<LQVA>体の討伐を頼めないかしら",ui\00_message\quest_info\q40000130_00.gmd,\quest\q40000130.arc,q40000130.arc,1
0,q40000131_00_131,森の恵み,Gift of the Forest,ui\00_message\quest_info\q40000131_00.gmd,\quest\q40000131.arc,q40000131.arc,0
1,q40000131_00_131,"森は素材の宝庫なの。特に、<LQIM>はよく採れるわね
丁度在庫を補充したいから、採ってきたなら<LQVA>個引きとるわよ。代金は提示額でどうかしら","森は素材の宝庫なの。特に、<LQIM>はよく採れるわね
丁度在庫を補充したいから、採ってきたなら<LQVA>個引きとるわよ。代金は提示額でどうかしら",ui\00_message\quest_info\q40000131_00.gmd,\quest\q40000131.arc,q40000131.arc,1
0,q40000132_00_132,仕入れ手伝い募集,Resupply,ui\00_message\quest_info\q40000132_00.gmd,\quest\q40000132.arc,q40000132.arc,0
1,q40000132_00_132,"よぉ。今ちょっと手が離せなくてな、誰か仕入れ仕事を頼まれてくれないか？
<LQIM>を<LQVA>つばかりよろしく頼むよ
なあに、そこら辺ですぐ手に入るさ
小遣い稼ぎのつもりでよろしく","よぉ。今ちょっと手が離せなくてな、誰か仕入れ仕事を頼まれてくれないか？
<LQIM>を<LQVA>つばかりよろしく頼むよ
なあに、そこら辺ですぐ手に入るさ
小遣い稼ぎのつもりでよろしく",ui\00_message\quest_info\q40000132_00.gmd,\quest\q40000132.arc,q40000132.arc,1
0,q40000133_00_133,内緒で宝物持ってきて！,The Secret Treasure,ui\00_message\quest_info\q40000133_00.gmd,\quest\q40000133.arc,q40000133.arc,0
1,q40000133_00_133,"今、誰が一番スゴイ宝を見つけられるか競争してるんだ
でも僕のはイマイチで――
ねぇ、<LQIM>ってのを見つけられたら一番になれると思うから、<LQVA>個持ってきてよ！
お礼はできるだけ出すから！","今、誰が一番スゴイ宝を見つけられるか競争してるんだ
でも僕のはイマイチで――
ねぇ、<LQIM>ってのを見つけられたら一番になれると思うから、<LQVA>個持ってきてよ！
お礼はできるだけ出すから！",ui\00_message\quest_info\q40000133_00.gmd,\quest\q40000133.arc,q40000133.arc,1
0,q40000134_00_134,合間の一杯,A Reprieve,ui\00_message\quest_info\q40000134_00.gmd,\quest\q40000134.arc,q40000134.arc,0
1,q40000134_00_134,"任務の合間に一杯やるのが楽しみなんだが、最近<LQIM>をじっくり漬けた酒にはまっていてな
そろそろ手持ちが切れそうなんで、持ってる者がいたら<LQVA>個ほど送ってくれないか
独特のクセが移ってなかなかイケるぜ","任務の合間に一杯やるのが楽しみなんだが、最近<LQIM>をじっくり漬けた酒にはまっていてな
そろそろ手持ちが切れそうなんで、持ってる者がいたら<LQVA>個ほど送ってくれないか
独特のクセが移ってなかなかイケるぜ",ui\00_message\quest_info\q40000134_00.gmd,\quest\q40000134.arc,q40000134.arc,1
0,q40000135_00_135,料理のアクセント,Allures of a Meal,ui\00_message\quest_info\q40000135_00.gmd,\quest\q40000135.arc,q40000135.arc,0
1,q40000135_00_135,"料理に、<LQIM>を使って、意外なアクセントを加えてやろうかなと思ったわけ
でさ、手持ちがあったら<LQVA>つでいいから譲ってくれない？
お礼はちゃんとするから！
美味しくできるか楽しみだわ","料理に、<LQIM>を使って、意外なアクセントを加えてやろうかなと思ったわけ
でさ、手持ちがあったら<LQVA>つでいいから譲ってくれない？
お礼はちゃんとするから！
美味しくできるか楽しみだわ",ui\00_message\quest_info\q40000135_00.gmd,\quest\q40000135.arc,q40000135.arc,1
0,q40000136_00_136,魔法使いのおまもり,A Sorceress' Charm,ui\00_message\quest_info\q40000136_00.gmd,\quest\q40000136.arc,q40000136.arc,0
1,q40000136_00_136,"魔法使いのおば――お姉さんに、じゅぐっていうやつの作り方を教わったの
でも、<LQIM>が足りなくって
<LQVA>こいるから、私にちょうだい！","魔法使いのおば――お姉さんに、じゅぐっていうやつの作り方を教わったの
でも、<LQIM>が足りなくって
<LQVA>こいるから、私にちょうだい！",ui\00_message\quest_info\q40000136_00.gmd,\quest\q40000136.arc,q40000136.arc,1
0,q40000137_00_137,秘薬の材料依頼,Request for Elixir Ingredients,ui\00_message\quest_info\q40000137_00.gmd,\quest\q40000137.arc,q40000137.arc,0
1,q40000137_00_137,"どなたか、薬の調合に必要な材料を手配していただけない？
品は<LQIM>を丁度<LQVA>個よ
届けてくれた方にはきちんとお礼させていただくわ
お互い、いい思いをしましょう。ふふふ――","どなたか、薬の調合に必要な材料を手配していただけない？
品は<LQIM>を丁度<LQVA>個よ
届けてくれた方にはきちんとお礼させていただくわ
お互い、いい思いをしましょう。ふふふ――",ui\00_message\quest_info\q40000137_00.gmd,\quest\q40000137.arc,q40000137.arc,1
0,q40000138_00_138,白翼覚者隊・収集依頼　ミスリウ森林,White Wings: Collection (Mysree Forest),ui\00_message\quest_info\q40000138_00.gmd,\quest\q40000138.arc,q40000138.arc,0
1,q40000138_00_138,"現地滞在中の覚者様に、神殿より通達です
対応可能であれば、任地にて<LQIM>、<LQVA>個を神殿まで納品願います
他の任務がある場合、そちらを優先してください","現地滞在中の覚者様に、神殿より通達です
対応可能であれば、任地にて<LQIM>、<LQVA>個を神殿まで納品願います
他の任務がある場合、そちらを優先してください",ui\00_message\quest_info\q40000138_00.gmd,\quest\q40000138.arc,q40000138.arc,1
0,q40000139_00_139,白翼覚者隊・納品依頼　ミスリウ森林,White Wings: Delivery (Mysree Forest),ui\00_message\quest_info\q40000139_00.gmd,\quest\q40000139.arc,q40000139.arc,0
1,q40000139_00_139,"現地滞在中の覚者様に、神殿より通達です
任地にて入手可能な<LQIM>、<LQVA>個を神殿まで納品願います
現在神殿でも備蓄が少なくなっているため、よろしくお願いします","現地滞在中の覚者様に、神殿より通達です
任地にて入手可能な<LQIM>、<LQVA>個を神殿まで納品願います
現在神殿でも備蓄が少なくなっているため、よろしくお願いします",ui\00_message\quest_info\q40000139_00.gmd,\quest\q40000139.arc,q40000139.arc,1
0,q40000140_00_140,＜エリアオーダー＞ミスリウ補給,Area Order: Mysree Resupply,ui\00_message\quest_info\q40000140_00.gmd,\quest\q40000140.arc,q40000140.arc,0
1,q40000140_00_140,"エリアマスターとして依頼させてもらうわ
リンウッドで今、<LQIM>不足が深刻なの。数で言うと<LQVA>個ほどなのだけど
どうかしら。協力してくれる人には、村を代表して十分なお礼を約束するわ","エリアマスターとして依頼させてもらうわ
リンウッドで今、<LQIM>不足が深刻なの。数で言うと<LQVA>個ほどなのだけど
どうかしら。協力してくれる人には、村を代表して十分なお礼を約束するわ",ui\00_message\quest_info\q40000140_00.gmd,\quest\q40000140.arc,q40000140.arc,1
0,q40000141_00_141,死ヌカと思ッタ！,An Inch from Death,ui\00_message\quest_info\q40000141_00.gmd,\quest\q40000141.arc,q40000141.arc,0
1,q40000141_00_141,"ぎゃぎゃぎゃ～～！！　デ、出タ～～～！！
<LQEM>ガ！！　急二！！
ビックリして死ヌトコ、アブナイ！
<LQVA>匹ヤッツケル安心！","ぎゃぎゃぎゃ～～！！　デ、出タ～～～！！
<LQEM>ガ！！　急二！！
ビックリして死ヌトコ、アブナイ！
<LQVA>匹ヤッツケル安心！",ui\00_message\quest_info\q40000141_00.gmd,\quest\q40000141.arc,q40000141.arc,1
0,q40000142_00_142,仕返シシテクレ！,Avenge Me!,ui\00_message\quest_info\q40000142_00.gmd,\quest\q40000142.arc,q40000142.arc,0
1,q40000142_00_142,"聞いテクレ！！
コナイダ、散歩シテタラ<LQEM>のぐるーぷにハチ会ッテ殴らレタ！　馬鹿二しテ、大勢デ！
コブマダ治ラナイ。仕返シに<LQVA>匹ヤッツケテクレ！","聞いテクレ！！
コナイダ、散歩シテタラ<LQEM>のぐるーぷにハチ会ッテ殴らレタ！　馬鹿二しテ、大勢デ！
コブマダ治ラナイ。仕返シに<LQVA>匹ヤッツケテクレ！",ui\00_message\quest_info\q40000142_00.gmd,\quest\q40000142.arc,q40000142.arc,1
0,q40000143_00_143,アイツら嫌イ,Loathing,ui\00_message\quest_info\q40000143_00.gmd,\quest\q40000143.arc,q40000143.arc,0
1,q40000143_00_143,"ニンゲン、嫌イ！
ダガ、今ハアイツらモット嫌イ！
セッカク付ケた飾リ、壊シた！　飾リブタ食っタ！！
アイツら、<LQEM>！
<LQVA>匹コロセ！","ニンゲン、嫌イ！
ダガ、今ハアイツらモット嫌イ！
セッカク付ケた飾リ、壊シた！　飾リブタ食っタ！！
アイツら、<LQEM>！
<LQVA>匹コロセ！",ui\00_message\quest_info\q40000143_00.gmd,\quest\q40000143.arc,q40000143.arc,1
0,q40000144_00_144,外ノ魔物ヤっパり怖イ,Monsters Beyond,ui\00_message\quest_info\q40000144_00.gmd,\quest\q40000144.arc,q40000144.arc,0
1,q40000144_00_144,"ジブン、弱イ、イジメラレル。外怖イ
コナイダ<LQEM>襲ッテキタ！
逃ゲタ、ケド、尻噛まれタ。イタイ――
誰カ<LQVA>匹、退治シテクれル、ウレシイ","ジブン、弱イ、イジメラレル。外怖イ
コナイダ<LQEM>襲ッテキタ！
逃ゲタ、ケド、尻噛まれタ。イタイ――
誰カ<LQVA>匹、退治シテクれル、ウレシイ",ui\00_message\quest_info\q40000144_00.gmd,\quest\q40000144.arc,q40000144.arc,1
0,q40000145_00_145,オデ、強イ！！,Shaken!!,ui\00_message\quest_info\q40000145_00.gmd,\quest\q40000145.arc,q40000145.arc,0
1,q40000145_00_145,"オデ、強イ！！
ココ辺りでモ有名ノ奴、<LQEM>ト一対一デ戦ッタ！　ホント、ホント！
デモ逃げられタ。オデ、腕負傷。ダカラ誰カ<LQVA>匹代ワり倒ス。死体片ヅケテヤル、ゲへへ","オデ、強イ！！
ココ辺りでモ有名ノ奴、<LQEM>ト一対一デ戦ッタ！　ホント、ホント！
デモ逃げられタ。オデ、腕負傷。ダカラ誰カ<LQVA>匹代ワり倒ス。死体片ヅケテヤル、ゲへへ",ui\00_message\quest_info\q40000145_00.gmd,\quest\q40000145.arc,q40000145.arc,1
0,q40000146_00_146,要チュウイ,A Notice,ui\00_message\quest_info\q40000146_00.gmd,\quest\q40000146.arc,q40000146.arc,0
1,q40000146_00_146,"<LQEM>、要チュウイダ
ワレワレゴブリンの城ヲ乗っ取る気かも知レン
王ノ心配ト癇癪が高まル前二、手ヲ打たネバ
<LQVA>匹コロシ手柄ヲ上げタ者にハ、ソレなリ褒美デル","<LQEM>、要チュウイダ
ワレワレゴブリンの城ヲ乗っ取る気かも知レン
王ノ心配ト癇癪が高まル前二、手ヲ打たネバ
<LQVA>匹コロシ手柄ヲ上げタ者にハ、ソレなリ褒美デル",ui\00_message\quest_info\q40000146_00.gmd,\quest\q40000146.arc,q40000146.arc,1
0,q40000147_00_147,きけん、アブナイ,"Danger, Danger",ui\00_message\quest_info\q40000147_00.gmd,\quest\q40000147.arc,q40000147.arc,0
1,q40000147_00_147,"ココいる<LQEM>アブナイ
城入っテクルきけん。<LQVA>匹グライ倒シテオカナイト、そろそろアイツラ増えテくル
誰カ、行っテヤッツケてコイ！","ココいる<LQEM>アブナイ
城入っテクルきけん。<LQVA>匹グライ倒シテオカナイト、そろそろアイツラ増えテくル
誰カ、行っテヤッツケてコイ！",ui\00_message\quest_info\q40000147_00.gmd,\quest\q40000147.arc,q40000147.arc,1
0,q40000148_00_148,王ノ命令　邪魔モノ排除,Royal Orders: Resolution,ui\00_message\quest_info\q40000148_00.gmd,\quest\q40000148.arc,q40000148.arc,0
1,q40000148_00_148,"王ガ立腹されテいル
城ノ近く、<LQEM>がウロツき、王ノ食べ物をトり、宝を壊スのダ
<LQVA>匹コロシ、報告セヨ","王ガ立腹されテいル
城ノ近く、<LQEM>がウロツき、王ノ食べ物をトり、宝を壊スのダ
<LQVA>匹コロシ、報告セヨ",ui\00_message\quest_info\q40000148_00.gmd,\quest\q40000148.arc,q40000148.arc,1
0,q40000149_00_149,王ノ命令　別勢力ノ排除,Royal Orders: Competition,ui\00_message\quest_info\q40000149_00.gmd,\quest\q40000149.arc,q40000149.arc,0
1,q40000149_00_149,"王ガ憂慮されテいル
城ノ近く、<LQEM>が現レ、勢力ヲ伸ばシツツアルのダ。最悪、城を乗っ取ラレル危険もアル
<LQVA>匹コロシ、報告セヨ","王ガ憂慮されテいル
城ノ近く、<LQEM>が現レ、勢力ヲ伸ばシツツアルのダ。最悪、城を乗っ取ラレル危険もアル
<LQVA>匹コロシ、報告セヨ",ui\00_message\quest_info\q40000149_00.gmd,\quest\q40000149.arc,q40000149.arc,1
0,q40000150_00_150,＜エリアオーダー＞危険ノ撃退,Area Order: Defense,ui\00_message\quest_info\q40000150_00.gmd,\quest\q40000150.arc,q40000150.arc,0
1,q40000150_00_150,"おい――、おい、お前らかヒト！　――なぁ
城の近くに<LQEM>がうろつき、何やらオレの宝を狙っていルそうじゃないカ
<LQVA>匹撃退してこい！　そしてらまァ、よくしてやるヨ","おい――、おい、お前らかヒト！　――なぁ
城の近くに<LQEM>がうろつき、何やらオレの宝を狙っていルそうじゃないカ
<LQVA>匹撃退してこい！　そしてらまァ、よくしてやるヨ",ui\00_message\quest_info\q40000150_00.gmd,\quest\q40000150.arc,q40000150.arc,1
0,q40000151_00_151,王ノ好物,The King's Favorite,ui\00_message\quest_info\q40000151_00.gmd,\quest\q40000151.arc,q40000151.arc,0
1,q40000151_00_151,"王、食事、<LQIM>ヲブタ肉と一緒に食ゥお気に入リラシイ
切れるト機嫌悪くナル。アト<LQVA>コ、急イでアツメロ！","王、食事、<LQIM>ヲブタ肉と一緒に食ゥお気に入リラシイ
切れるト機嫌悪くナル。アト<LQVA>コ、急イでアツメロ！",ui\00_message\quest_info\q40000151_00.gmd,\quest\q40000151.arc,q40000151.arc,1
0,q40000152_00_152,アレがナイ！！,Nowhere to Be Found!!,ui\00_message\quest_info\q40000152_00.gmd,\quest\q40000152.arc,q40000152.arc,0
1,q40000152_00_152,"ドドドドウシヨウ！！！
王の大事なアレ、アレ、<LQIM>がどっかイッタ！　誰カ、何とかシロ！！
無くナッタのハ<LQVA>コダ！","ドドドドウシヨウ！！！
王の大事なアレ、アレ、<LQIM>がどっかイッタ！　誰カ、何とかシロ！！
無くナッタのハ<LQVA>コダ！",ui\00_message\quest_info\q40000152_00.gmd,\quest\q40000152.arc,q40000152.arc,1
0,q40000153_00_153,ヨコセ、齧るド！！,Aggression,ui\00_message\quest_info\q40000153_00.gmd,\quest\q40000153.arc,q40000153.arc,0
1,q40000153_00_153,"今スグ<LQIM>ヨコセ！！
<LQVA>コダ！！
アレがナイと落ちつかナイ、歯がゾワゾワスル！！
持っテ来タラ、ちゃんと礼ヤル！　齧らナイ！！","今スグ<LQIM>ヨコセ！！
<LQVA>コダ！！
アレがナイと落ちつかナイ、歯がゾワゾワスル！！
持っテ来タラ、ちゃんと礼ヤル！　齧らナイ！！",ui\00_message\quest_info\q40000153_00.gmd,\quest\q40000153.arc,q40000153.arc,1
0,q40000154_00_154,ニンゲンヨケ,Human Protection,ui\00_message\quest_info\q40000154_00.gmd,\quest\q40000154.arc,q40000154.arc,0
1,q40000154_00_154,"ニンゲン、嫌イ！　最近ココ、ニンゲン臭イ
城の門、ニンゲンヨケの飾リ、モット付ケル！
ブタの死体に<LQIM>詰メル！
<LQVA>コ詰メル！　キットそレでカんペキ","ニンゲン、嫌イ！　最近ココ、ニンゲン臭イ
城の門、ニンゲンヨケの飾リ、モット付ケル！
ブタの死体に<LQIM>詰メル！
<LQVA>コ詰メル！　キットそレでカんペキ",ui\00_message\quest_info\q40000154_00.gmd,\quest\q40000154.arc,q40000154.arc,1
0,q40000155_00_155,外ノ魔物怖イ,Monsters Beyond,ui\00_message\quest_info\q40000155_00.gmd,\quest\q40000155.arc,q40000155.arc,0
1,q40000155_00_155,"ジブン、弱イ、イジメラレル、外怖イ
デモ<LQIM>欲しイ――
欲しイケド、取リ行ク――怖イ
誰カ<LQVA>コ、分ケてクれる、ウレシイ","ジブン、弱イ、イジメラレル、外怖イ
デモ<LQIM>欲しイ――
欲しイケド、取リ行ク――怖イ
誰カ<LQVA>コ、分ケてクれる、ウレシイ",ui\00_message\quest_info\q40000155_00.gmd,\quest\q40000155.arc,q40000155.arc,1
0,q40000156_00_156,オデ、偉イ！！,Shaken!!,ui\00_message\quest_info\q40000156_00.gmd,\quest\q40000156.arc,q40000156.arc,0
1,q40000156_00_156,"オデ、次二王が欲しイ言うモノ解ル、当タル！
ソレ、ズバリ<LQIM>！！
ダカラ今のウチ、集めテル
デモ数足らない！　<LQVA>コクレ！！
オデ、褒めラレル。オマエ、コレヤル","オデ、次二王が欲しイ言うモノ解ル、当タル！
ソレ、ズバリ<LQIM>！！
ダカラ今のウチ、集めテル
デモ数足らない！　<LQVA>コクレ！！
オデ、褒めラレル。オマエ、コレヤル",ui\00_message\quest_info\q40000156_00.gmd,\quest\q40000156.arc,q40000156.arc,1
0,q40000157_00_157,たくわえ、少ナイ,Running Out,ui\00_message\quest_info\q40000157_00.gmd,\quest\q40000157.arc,q40000157.arc,0
1,q40000157_00_157,"<LQIM>たくわえ、少ナイ
<LQVA>ツハ必要。ロイが送ってクル、もっと先ナル
誰カ、外出テ取ってコイ！","<LQIM>たくわえ、少ナイ
<LQVA>ツハ必要。ロイが送ってクル、もっと先ナル
誰カ、外出テ取ってコイ！",ui\00_message\quest_info\q40000157_00.gmd,\quest\q40000157.arc,q40000157.arc,1
0,q40000158_00_158,今日ノ王へノ捧ゲ物　小遣イアリ,Royal Offering: Coin,ui\00_message\quest_info\q40000158_00.gmd,\quest\q40000158.arc,q40000158.arc,0
1,q40000158_00_158,"王ガ<LQIM>、<LQVA>個を所望ダ
急イでそのアタリでトってコイ！
貢いダ者二は小遣イアリとの事ダ","王ガ<LQIM>、<LQVA>個を所望ダ
急イでそのアタリでトってコイ！
貢いダ者二は小遣イアリとの事ダ",ui\00_message\quest_info\q40000158_00.gmd,\quest\q40000158.arc,q40000158.arc,1
0,q40000159_00_159,今日ノ王へノ捧ゲ物　報酬アリ,Royal Offering: Toll,ui\00_message\quest_info\q40000159_00.gmd,\quest\q40000159.arc,q40000159.arc,0
1,q40000159_00_159,"王ガ<LQIM>、<LQVA>個を所望ダ
マタどうしてカ解らんガ、ナルベク急ゲ！
貢いダ者二は何か報酬をトラスとの事ダ","王ガ<LQIM>、<LQVA>個を所望ダ
マタどうしてカ解らんガ、ナルベク急ゲ！
貢いダ者二は何か報酬をトラスとの事ダ",ui\00_message\quest_info\q40000159_00.gmd,\quest\q40000159.arc,q40000159.arc,1
0,q40000160_00_160,＜エリアオーダー＞ホボリック蒐集,Area Order: Hobolic Gathering,ui\00_message\quest_info\q40000160_00.gmd,\quest\q40000160.arc,q40000160.arc,0
1,q40000160_00_160,"あァ、お前ら――あと、ヒト！　ほら、アレだ
アレを集めてこい――<LQIM>ダ！
数はそうだナ、30――いや<LQVA>でイイ
それならまァ、できるダロ？","あァ、お前ら――あと、ヒト！　ほら、アレだ
アレを集めてこい――<LQIM>ダ！
数はそうだナ、30――いや<LQVA>でイイ
それならまァ、できるダロ？",ui\00_message\quest_info\q40000160_00.gmd,\quest\q40000160.arc,q40000160.arc,1
0,q40000161_00_161,ドラワン周辺の脅威,Threat Surrounding Drawan,ui\00_message\quest_info\q40000161_00.gmd,\quest\q40000161.arc,q40000161.arc,0
1,q40000161_00_161,"オークの砦に近いこの地は危険が多くて――はぁあ
最近気になっているのは<LQEM>なんだ
貴重な家畜や民家への被害もあったし――
逗留中の戦士さん、頼むよ。<LQVA>体退治して助けてくれないかな？","オークの砦に近いこの地は危険が多くて――はぁあ
最近気になっているのは<LQEM>なんだ
貴重な家畜や民家への被害もあったし――
逗留中の戦士さん、頼むよ。<LQVA>体退治して助けてくれないかな？",ui\00_message\quest_info\q40000161_00.gmd,\quest\q40000161.arc,q40000161.arc,1
0,q40000162_00_162,荒れ地の怪,A Wasteland Mystery,ui\00_message\quest_info\q40000162_00.gmd,\quest\q40000162.arc,q40000162.arc,0
1,q40000162_00_162,"周囲で見かける魔物の中でも特に<LQEM>は厄介だ
戦える者は<LQVA>体ほど退治に協力してもらえるとありがたい
だが自信が無い者はやめておいた方がいい","周囲で見かける魔物の中でも特に<LQEM>は厄介だ
戦える者は<LQVA>体ほど退治に協力してもらえるとありがたい
だが自信が無い者はやめておいた方がいい",ui\00_message\quest_info\q40000162_00.gmd,\quest\q40000162.arc,q40000162.arc,1
0,q40000163_00_163,オーク軍の斥候,Orc Scouts,ui\00_message\quest_info\q40000163_00.gmd,\quest\q40000163.arc,q40000163.arc,0
1,q40000163_00_163,"たまに、ガルドノックの方から魔物の群れが来るんだよ
最近だと、<LQEM>が<LQVA>体やってきたって聞いたよ
ありゃ、オーク軍の斥候部隊じゃないかね
賞金を賭けるから誰か、倒しておくれ！","たまに、ガルドノックの方から魔物の群れが来るんだよ
最近だと、<LQEM>が<LQVA>体やってきたって聞いたよ
ありゃ、オーク軍の斥候部隊じゃないかね
賞金を賭けるから誰か、倒しておくれ！",ui\00_message\quest_info\q40000163_00.gmd,\quest\q40000163.arc,q40000163.arc,1
0,q40000164_00_164,あんにゃろう！！,That Bastard!!,ui\00_message\quest_info\q40000164_00.gmd,\quest\q40000164.arc,q40000164.arc,0
1,q40000164_00_164,"ちっくしょうまたかよ！！
<LQEM>の野郎のせいで、一張羅の鎧を台無しにされちまった！
腹の虫が収まらねぇ！
いくらか払うから、野郎<LQVA>匹ぶっ倒してくれ！","ちっくしょうまたかよ！！
<LQEM>の野郎のせいで、一張羅の鎧を台無しにされちまった！
腹の虫が収まらねぇ！
いくらか払うから、野郎<LQVA>匹ぶっ倒してくれ！",ui\00_message\quest_info\q40000164_00.gmd,\quest\q40000164.arc,q40000164.arc,1
0,q40000165_00_165,安全な採取のために,For a Safe Harvest,ui\00_message\quest_info\q40000165_00.gmd,\quest\q40000165.arc,q40000165.arc,0
1,q40000165_00_165,"鉱石を掘るにも植物を採るにも、身の危険が近いと落ちついて作業できません。特に、この頃は<LQEM>が作業を妨害してきます
どうか<LQVA>体ほど撃退してください","
鉱石を掘るにも植物を採るにも、身の危険が近いと落ちついて作業できません。特に、この頃は<LQEM>が作業を妨害してきます
どうか<LQVA>体ほど撃退してください",ui\00_message\quest_info\q40000165_00.gmd,\quest\q40000165.arc,q40000165.arc,1
0,q40000166_00_166,家畜の天敵,Livestock's Natural Enemy,ui\00_message\quest_info\q40000166_00.gmd,\quest\q40000166.arc,q40000166.arc,0
1,q40000166_00_166,"悔しいことに、夜中にまた家畜が襲われたのです。日中はゴートさんが目を光らせてくれてるけど――
多分<LQEM>にやられたんです
<LQVA>匹、村近くに来る前に退治してくれないでしょうか","悔しいことに、夜中にまた家畜が襲われたのです。日中はゴートさんが目を光らせてくれてるけど――
多分<LQEM>にやられたんです
<LQVA>匹、村近くに来る前に退治してくれないでしょうか",ui\00_message\quest_info\q40000166_00.gmd,\quest\q40000166.arc,q40000166.arc,1
0,q40000167_00_167,討伐協力を頼む,Call for Extermination,ui\00_message\quest_info\q40000167_00.gmd,\quest\q40000167.arc,q40000167.arc,0
